ROUTEID,TRANSID,INCEPTADDR,SENDPOS
3,1425,思明区湖滨四里76-79号店面,好又惠湖滨四里分店
3,2283,厦门市思明区金橡南路19号,厦门市思明区金橡南路19号
3,2331,厦门市思明区金榜路58号,金榜分院
3,1374,仙岳路中段399号,仙岳医院住院药房
3,1813,"福建厦门屿后南里238号
","厦门市社会福利中心
"
3,1821,厦门市思明区屿后南里130-131号1-2层,思明齐安松柏门诊部
3,1844,"福建厦门思明区仙岳路 
","厦门市仙岳医院	供应室
"
3,1846,福建厦门思明区仙岳路  ,"厦门市仙岳医院	检验科
"
3,2648,湖里区和宁里125之11号,厦门市湖里区慈善堂药店
3,2695,厦门湖里区和通路14号店面,厦门市湖里区品信堂药局
3,2696,厦门市湖里区和宁里125号之14,厦门市湖里区普济堂药局
3,2739,湖里区南山路293号之一楼02室,厦门市惠康堂药店有限公司
3,2828,*思明区后埭溪路102号之十三E1单元,健康八五后埭溪店
3,2831,*思明区禾祥东路38号之二,健康八五禾祥东店
3,2832,*思明区仙岳路241号之106店面,健康八五仙岳店
3,2848,*福建厦门思明区后埭溪路102号之十三E1单元 ,"厦门思明区健康八五医药商店
"
3,2891,*思明区湖光路78号之10-11号,厦门市思明区安仁堂药店
3,2892,东浦一里57号110,厦门市思明区百安堂药房
3,2897,坂尾路17-19号之2室,厦门市思明区草济堂药局
3,2898,*厦禾路881号千禧园36号,厦门市思明区德康堂药局
3,2901,思明区嘉禾路303号114室,厦门市思明区德善药局
3,2902,*东坪二里130号,厦门市思明区德鑫堂药局
3,2908,湖明路12-16号,厦门市思明区富康药店
3,2910,莲前西路51号之4,厦门市思明区广莲堂药店
3,2911,思明区禾祥东路38号之二店,厦门市思明区旱霖药店
3,2916,长青路251号,厦门市思明区惠康大药房
3,2917,莲岳里162号之十,厦门市思明区惠瑞药店
3,2919,*莲岳路永升松柏中心CD座一层17号,厦门市思明区集善堂药店
3,2922,SM二期对面,厦门市思明区济慈大药房
3,2927,东浦路金枫园12号之27店面,厦门市思明区金鹭岛药店
3,2934,东浦路36号农贸市场A10-11号,厦门市思明区龙昌堂药店
3,2936,思明区东浦路4号之A04-A05店,厦门市思明区美信祥和药店
3,2940,凤屿路17号之9,厦门市思明区铭国堂药店
3,2942,*后埭路126号之三,厦门市思明区齐康药店
3,2944,思明区凤屿路238号,厦门市思明区如一堂药店
3,2949,东浦路一里115号之十二,厦门市思明区泰安药参行
3,2951,思明区湖滨南路821号之115号,厦门市思明区同泰药店
3,2954,厦门市禾祥东路12号之32店,厦门市思明区维善药店
3,2955,思明区嘉禾路253号之102室,厦门市思明区祥聚堂药店
3,2956,思明区东明路5号,厦门市思明区祥康堂药局
3,2960,*思明区莲岳路26号之六,厦门市思明区信德堂药局
3,2963,*嘉禾路62号及62号之101,厦门市思明区兴鹭康药房
3,2976,厦门市思明区湖滨南路310-3号,厦门市思明区众鑫泰大药房
3,2341,思明区金榜路58号,中山金榜分院
3,2376,莲花南路9号,嘉莲社区药房
3,2379,莲岳里14号,筼筜残联点药房
3,2392,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店
3,2394,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店
3,2396,厦门市思明区湖滨六里175号,德善堂湖滨六里店
3,2398,思明区湖滨六里159号,厦门东南医药有限公司大洲分店
3,2399,仙阁里小区92号一层,厦门东南医药有限公司仙阁里分店
3,2406,厦门市湖滨东路9号,厦门国泰妇科医院
3,2455,湖里区湖里街道和宁路69号,厦门湖里平安门诊部
3,2518,禾祥东路170号之24店面,厦门妙春堂药店有限公司
3,2519,思明区后埭溪路109号中心商场(银龙广场一期),厦门闽篮超市有限公司禾祥店
3,2520,湖里区嘉园路26号,厦门闽篮超市有限公司松柏店
3,2527,仙岳路中段373-375号,爱心护理院药房
3,2528,仙岳路373-375号,门诊药房
3,2530,厦门市仙岳路468号,厦门市康复医院
3,2534,思明区凤屿路100号13B一层,厦门市德安药房有限公司
3,2584,开元区屿后南里238号,松柏医院药房
3,2585,"福建厦门屿后南里238号
","厦门市社会福利中心
"
3,3720,莲岳里14号,员筜社区
3,3378,金榜路61-67号,厦门思明扶元堂中医康复门诊部
3,3380,思明区湖滨南路625号,厦门思明富山门诊部
3,3382,后埭溪路,厦门思明海峡门诊部
3,3383,思明区凤屿路4号,厦门思明华美医疗美容门诊部
3,3384,湖滨南路815号万禾广场二层,厦门思明黄岩医疗美容诊所
3,3387,莲前西路114号101室,厦门思明建设西医妇科诊所
3,3388,"厦门莲前西路144号101室
","厦门思明建设西医妇科诊所
"
3,3389,思明区潘宅路134-142号店面,厦门思明洁宇门诊部
3,3394,莲岳路16号之16.18-203室,厦门思明康健（旧的）
3,3398,思明区仙岳路463-467号聚祥花园A栋三层,厦门思明欧菲医疗美容门诊部
3,3399,屿后南里151号,厦门思明齐安松柏门诊部
3,3400,福建厦门市思明区屿后路151号,思明齐安松柏门诊部
3,3402,思明槟榔西里150号天湖大厦A座1-4,厦门思明区梧村骨科医院
3,3403,思明区东浦路22号,梧村骨科医院药房
3,3404,思明区湖滨南路285-289号第二层,厦门思明仁爱门诊部
3,3407,思明区东明路23号,厦门思明素英西医内科诊所
3,3414,思明区厦禾路1106号,厦门思明新鹭厦门诊部
3,3415,思明区湖滨北路育秀里36号三楼304单元,厦门思明修志夫整形外科门诊部
3,3416,"厦门湖滨北路育秀里36号三04
","厦门思明修志夫整形外科门诊部
"
3,3420,厦门市思明区禾祥东路18-13号,厦门思明艺贞禾祥诊所
3,3422,火车站往莲坂方向豪享来二楼,厦门思明又平银河星美容外科诊所
3,3423,思明区岳阳西里152号,厦门思明育德门诊部
3,3425,思明区莲岳里72号,厦门思明再福中医诊所
3,3426,仙岳路1153号,厦门思明张铭医疗美容诊所
3,3427,"厦门仙岳路1153号
","厦门思明张铭医疗美容诊所
"
3,3428,思明区厦禾路986号四楼（408-416楼、432-437室、451-452室,厦门思明长康门诊部
3,3472,长青路283号嘉华大厦1-4楼,厦门友好妇产医院
3,3477,厦门市思明区金榜路61-67号第五层22室,厦门中讯达科技有限公司
3,3478,"思明区金榜路61-67号第五层22-2室
","厦门中迅达科技有限公司
"
3,3487,*思明区松岳里35号,思明区信益堂药店
3,3537,莲前路677号,中国人民解放军73322部队医院
3,3538,福建省厦门市连前西路,中国人民解放军73325部队卫生队
3,3550,思明区仙阁里162号之102,厦门思明晓明诊所
3,3141,仙岳路中段399号,仙岳医院药库
3,3142,仙岳路中段399号,仙岳医院住院药房
3,3143,福建厦门思明区仙岳路  ,"厦门市仙岳医院	设备科
"
3,3144,福建厦门思明区仙岳路 四楼465号供应室 ,4楼供应室 
3,3145,福建厦门思明区仙岳路  ,"厦门市仙岳医院	检验科
"
3,2879,思明区湖滨四里76-79号店面,好又惠湖滨四里分店
3,3363,思明区凤屿路384号、448号之一、之二,厦门思明槟榔门诊部
3,3365,东浦路168-13,厦门思明传春内科诊所
3,3366,东浦路98号之16-1,厦门思明传文中医内科诊所
3,3370,东坪二里1号201，301室,厦门思明德善堂东坪门诊部
3,3376,思明区凤屿路116、118号店面,厦门思明东海门诊部
3,3377,福建厦门市嘉禾路570号,厦门市思明东海门诊部
3,3568,思明区育秀里36号二层之204室,思明区育秀里36号
3,3575,思明区长青路506号102室,思明区长青路506号102室
3,3584,莲岳路179号,筼筜莲岳点药房
3,3585,思明区长青路282号,思明区长青路282号
3,3588,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,思明区湖滨东路90号1层1-4#商场、2层1-11#商场
3,3619,厦门市思明区莲前西路503号02室,馨子墨药店
3,3694,厦门思明区环岛东路1699号建发国际大厦19楼,"厦门市和盛祥科技有限公司
"
3,3700,福建厦门市长青路283号嘉华大厦1-4楼,药房
3,5265,思明区仙岳路385号,厦门市第一强制隔离戒毒所医务室
3,5266,思明区仙岳路385号,厦门市第一强制隔离戒毒所医务室
3,3752,思明区莲景路62号,嘉莲社区
3,3767,文灶城书范园一楼汇文路51-59号,文灶城书范园一楼汇文路51-59号
3,3769,厦门思明区湖光路133号,厦门市国曜医疗器械有限公司
3,4333,指定地点,指定地点
3,6764,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 3,湖滨六里
3,6768,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 4,德善药局
3,6771,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 3,湖滨六里
3,6773,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 4,德善药局
3,6776,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 8,美信祥和
3,6778,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 9,维善药店
3,6782,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 8,美信祥和
3,6783,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 8,美信祥和
3,6785,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 9,维善药店
3,6789,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 9,维善药店
3,6765,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 4,德善药局
3,6766,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 3,湖滨六里
3,7373,厦门市禾祥东路金庭花园22号之八301室,金庭花园
3,7374,厦门市禾祥东路金庭花园22号之八301室,金庭花园
3,6351,思明区坂尾路17-19号,仓库
3,6708,厦门市思明区前村埔路537号第三层,德善堂洪文店
3,6709,厦门市思明区湖滨六里175号,德善堂湖滨六里店
3,6712,厦门市思明区嘉禾路305号114室（商场）,德善堂嘉禾店
3,6723, 1楼急诊抢救室,1楼急诊抢救室
3,6724, 1楼急诊抢救室,1楼急诊抢救室
3,7483,*思明区厦禾路861号101-103单元,厦门思明真爱妇科专科门诊部
3,7484,*思明区厦禾路861号101-103单元,厦门思明真爱妇科专科门诊部
3,7485,*思明区厦禾路861号101-103单元,厦门思明真爱妇科专科门诊部
3,7738,思明区金榜路58号,中山金榜分院
3,9695,厦门市思明区屿后南里238号,厦门市社会福利中心
3,12030,长青路282号,厦门思明杨玲西医内科诊所
3,12031,长青路282号,厦门思明杨玲西医内科诊所
3,12395,厦门市湖滨南路泛华大厦A栋2501室,湖滨南路
3,12396,厦门市湖滨南路泛华大厦A栋2501室,湖滨南路
3,11936,厦门市思明区湖光路92、93号（第1-6层）,厦门思明华医馆中医康复门诊部
3,11937,思明区湖滨南路59号,厦门思明华医馆中医康复门诊部
3,12093,长青路282号,厦门思明杨玲西医内科诊所
3,12393,厦门市禾祥东路金庭花园22号之八301室,金庭花园
3,12394,厦门市禾祥东路金庭花园22号之八301室,金庭花园
3,12855,思明区莲岳里230号,屿后分店
3,12857,湖里区和通里26号,和通里分店
3,12868,思明区后埭溪路248号龙景台一层24号店面,龙景台分店
3,12872,厦门市思明区侨岳里27-38号 ,松柏分店
3,12904,思明区东坪二里1-3号店面,东坪分店
3,13958,,指定地点
3,14176,厦门市湖滨东路9号,厦门鹭港妇产医院
3,12873,厦门市思明区松岳里124-6号,松岳分店
3,12882,思明区莲岳路173号之十五店面,莲岳分店
3,12883,思明区湖明路136号之101、莲景路3号、莲景路5号,莲坂新村分店
3,12885,思明区湖明路22号A单元右侧店面,湖明分店
3,13153,湖滨南路328号亿宝大厦11楼采购部,亿宝大厦
3,13375,厦门市后埭溪路248号龙景台一层23#,后埭溪分店
3,13579,仙岳路468号,筼筜社区残联点
3,13894,厦门市思明区莲坂商业广场北区159号,厦门市绿浪医疗器械有限公司
3,12815,思明区东浦路1号楼105、106室,东浦分店
3,12818,厦门市思明区湖滨南路293号,湖滨一里分店
3,12820,厦门市思明区天虹商场二楼,天虹分店
3,12822,厦门市思明区长青北里110号,长青路分店
3,14196,厦门市湖滨东路9号,厦门鹭港妇产医院
3,14434,湖里区南山路293号之一楼02室,厦门市惠康堂药店有限公司
3,14440,*思明区湖光路78号之10-11号,厦门市思明区安仁堂药店
3,12853,厦门市思明区东明路27号,湖东分店
3,18406,厦门市湖滨东路9号,厦门鹭港妇产医院
3,19519,福建厦门思明区仙岳路  ,放射科
3,19520,思明区湖滨北路250-252号二楼,厦门思明聚德口腔专科门诊部
3,19680,厦门市思明区东浦路82号第二层 9 ,"好又惠定安分店
"
3,19681,厦门市思明区东浦路82号第二层 7 ,"好又惠湖滨四里分店
"
3,19682,厦门市思明区东浦路82号第二层 8 ,"好又惠湖滨南总店
"
3,19540,厦门市思明区东浦路82号第二层 11 ,"好又惠集美北区分店
"
3,19541,厦门市思明区东浦路82号第二层 10 ,"好又惠海沧分店
"
3,19542,厦门市思明区东浦路82号第二层 15 ,"好又惠第十五分店
"
3,19543,厦门市思明区东浦路82号第二层 14 ,"好又惠万寿分店
"
3,28210,思明区后埭溪路28号皇达大厦西南侧二层A,厦门思明心和门诊部
3,20616,厦门思明区莲前西路2号F10B,厦门思明区
3,19678,厦门市思明区东浦路82号第二层 3 ,"好又惠前埔分店
"
3,19679,厦门市思明区东浦路82号第二层 4 ,"好又惠金尚分店
"
3,31534,湖滨南路328号亿宝大厦11楼采购部,亿宝大厦
3,22106,厦门市思明区槟榔西里255号101单元之一,厦门思明林驹中医诊所
3,16012,厦门市湖滨东路9号,厦门鹭港妇产医院
3,23763,厦门市思明区香秀里36号育秀中心商场104单元,厦门市瑞来春药店有限公司
3,17425,莲岳里14号,筼筜社区残联点
3,23983,厦门市思明区湖滨东路196号附属商业裙楼之201,厦门天使口腔医院
3,16124,厦门市湖滨东路9号,厦门鹭港妇产医院
3,24868,厦门市思明区东坪山路25号之十三,东坪路分店
3,30611,思明区莲景路60号,厦门市思明区嘉莲街道社区卫生服务中心
3,26752,厦门市思明区湖滨南路328号20C3室,厦门桫椤贸易有限公司
3,26833,思明区金榜路61-76凯旋广场二层A块商场二楼,厦门思明扶元堂中医门诊部
3,27292,湖里区湖里街道和宁路50号,福建省厦门第六中学高中部医务室
3,27963,厦门市思明区后埭溪路126号之三店,仓库
3,21943,思明区厦禾路875号之25,厦门思明福章中医皮肤科诊所
3,23524,厦门市思明区湖滨东路196号附属商业裙楼之201,厦门思明美可普天使口腔门诊部有限公司 
3,28930,,指定地点
3,29350,厦门市思明区仙岳路488号201室之二,厦门市千里明视康保健服务有限公司
3,29470,思明区育秀里13-15号商场及16号之（1）商场,厦门思明和仁门诊部（股份厦门）
3,14657,金榜路61-67号,厦门思明扶元堂中医康复门诊部
3,30577,思明区东浦路22号,厦门思明景元中医院
3,30758,湖滨南路328号亿宝大厦11楼采购部,亿宝大厦
3,30865,厦门市思明区仙岳路松岳里29号,燕来福（厦门思明琼芳中医诊所）
3,30866,厦门市思明区仙岳路松岳里29号,海峡两岸（厦门思明琼芳中医诊所）
3,27531,思明区湖滨南路210号之三102室,厦门市古今湖滨药店连锁有限公司
3,30993,思明区金榜路58号,中山金榜分院
3,31028,厦门市思明区后埭溪路109号中心商场及周边B、C、D、I、R商场,公司仓库
3,31029,厦门市思明区屿后南里107-109号第一层,公司仓库
3,31070,思明区东浦路82号2楼在鹭峰宾馆对面,（燕来福）厦门市美信好又惠医药有限公司
3,31072,厦门市思明区东坪二里130-131号,仓库
3,31073,厦门市思明区湖明路12-16号,公司仓库
3,31074,厦门市思明区长青路251号,公司仓库
3,31075,厦门市思明区嘉禾路347号101单元,（燕来福）厦门市思明区济慈大药房
3,31077,厦门市思明区后埭溪路126号之三店,仓库
3,15020,莲岳路179号,筼筜社区莲岳点
3,31078,厦门市思明区凤屿路238号,药店
3,31079,厦门市思明区莲岳路26号之6,仓库
3,31082,福建厦门思明区仙岳路  ,放射科
3,31105,厦门市思明区东坪二里一号201、301室,公司仓库
3,31109,思明区金榜路61-76凯旋广场二层A块商场二楼,厦门思明扶元堂中医门诊部
3,31110,福建厦门市思明区屿后路151号,（燕来福）厦门思明齐安松柏门诊部
3,31111,思明区东浦路22号,海峡两岸
3,31112,思明区禾祥东路18-13号,诊所
3,31119,思明区育秀里36号,海峡两岸
3,31120,莲岳路179号,海峡两岸莲岳点
3,31121,莲岳里14号,海峡两岸残联点
3,31207,厦门市思明区育秀里36号育秀中心商场104单元,海峡两岸
3,20738,厦门市湖里区仙岳路41-51号3号楼2层,厦门东渡老年公寓
3,19663,厦门市思明区东浦路82号第二层 1 ,好又惠博士山庄分店 
3,19664,厦门市思明区东浦路82号第二层 2 ,"好又惠源昌分店
"
3,19665,厦门市思明区东浦路82号第二层 5 ,"好又惠同安西安分店
"
3,19666,厦门市思明区东浦路82号第二层 6 ,"好又惠同安环西分店
"
3,30446,思明区育秀里36号,思明区育秀里36号
3,30447,思明区育秀里36号,燕来福（厦门思明瑞来春中医门诊部）
3,30448,思明区育秀里36号,厦门市思明区瑞来春中医门诊部
3,30450,莲岳里14号,筼筜社区残联点
3,30451,莲岳路179号,筼筜社区莲岳点
3,19683,厦门市思明区东浦路82号第二层 12 ,"好又惠翔鹭分店
"
3,19684,厦门市思明区东浦路82号第二层 13 ,"好又惠旭日海湾分店
"
3,30499,厦门市思明区育秀里36号育秀中心商场104单元,燕来福(厦门市瑞来春药店有限公司）
3,30233,东坪二里1号201，301室,厦门思明德善堂第三门诊部
3,30853,厦门市思明区屿后北里450号,海峡两岸（厦门思明罗庆模中医科诊所）
3,19667,厦门市思明区东浦路82号第二层 16 ,"好又惠松柏店（第十五分店）
"
3,19668,厦门市思明区东浦路82号第二层 17 ,"厦门市美信好又惠医药有限公司第十八分店
"
3,23744,思明区天虹商场2楼,天虹店
3,34488,思明区天虹商场2楼,天虹店
3,34506,厦门市思明区屿后北里450号,燕来福(厦门思明罗庆模中医科诊所）
3,32417,厦门市思明区凤屿路450-468号102单元,公司仓库
3,34269,思明区金榜路58号,中山金榜分院
3,31639,思明区莲景路60号,(两岸公司)厦门市思明区嘉莲街道社区卫生服务中心
3,31644,厦门市思明区仙阁里小区92号一层,分店
3,31675,禾祥东路170号之24店面,燕来福
3,31676,厦门市思明区禾祥东路170号之二十四,仓库
3,31677,思明区后埭溪路109号中心商场(银龙广场一期),燕来福
3,31678,湖里区嘉园路26号,燕来福
3,25095,厦门市思明区莲岳路26号之6,仓库
3,34247,莲花南路9号,嘉莲社区药房
3,24554,厦门市湖里区南山路293号之一一楼2室,仓库
3,31767,湖里区和宁里125之11号,燕来福
3,31771,厦门市湖里区和宁里125号之14,燕来福
3,31772,厦门市湖里区和宁里125号之14,药局
3,31774,湖里区南山路293号之一楼02室,燕来福
3,31775,厦门市湖里区南山路293号之一一楼2室,仓库
3,31795,厦门市思明区东浦一里57号109-110店,药房
3,31796,厦门市思明区坂尾路17-19号之2室,燕来福
3,27256,湖里区湖里街道和宁路50号,福建省厦门第六中学高中部医务室
3,28250,思明区厦禾路913号华星大厦三层部分,厦门思明时光医疗美容门诊部
3,29811,厦门市思明区双涵路49号,厦门思明勇华中医(综合)诊所
3,16486,厦门市湖滨东路9号,厦门鹭港妇产医院
3,31797,*厦禾路881号千禧园36号,燕来福
3,31802,长青路251号,燕来福
3,31803,厦门市思明区莲岳里162号之十,仓库
3,31804,*莲岳路永升松柏中心CD座一层17号,燕来福
3,31809,*嘉禾路62号及62号之101,燕来福
3,31832,仙岳路中段399号,燕来福
3,31878,思明区东浦路98号16-1#店面,诊所
3,31881,东坪二里1号201，301室,燕来福
3,31882,东坪二里1号201，301室,海峡两岸
3,30730,莲岳路179号,厦门市思明区筼筜街道社区卫生服务中心（莲岳点）
3,30731,仙岳路468号,厦门市思明区筼筜街道社区卫生服务中心（残联点）
3,22996,思明区金榜路58号,中山金榜分院
3,31894,思明区湖滨南路625号,燕来福
3,31896,"厦门莲前西路144号101室
",燕来福
3,31900,厦门市思明区金榜路57号之二十三 张丽勤15392031729,燕来福
3,31901,福建厦门市思明区屿后路151号,海峡两岸
3,31902,思明区东浦路22号,燕来福
3,31903,,指定地点
3,31907,思明区厦禾路986号四楼（408-416楼、432-437室、451-452室,燕来福
3,31916,厦门市思明区松岳里35-36号,公司仓库
3,31930,思明区育秀里36号,燕来福
3,23184,,指定地点
3,30521,福建厦门市思明区屿后路151号,厦门思明齐安松柏门诊部
3,32075,厦门市思明区湖滨北路119号,燕来福
3,32123,厦门市思明区育秀里36号育秀中心商场104单元,燕来福
3,32496,,指定地点
3,32136,湖里区湖里街道和宁路50号,医务室
3,32591,厦门市思明区湖滨东路184-201号,厦门思明蓝天门诊部有限公司
3,26673,厦门市思明区厦禾路839号汇成商业中心1303室,厦门
3,32450,厦门市思明区凤屿路450-468号102单元,厦门榔中药房有限公司
3,32770,厦门市思明区凤屿路450-468号102单元,公司仓库
