ROUTEID,TRANSID,INCEPTADDR,SENDPOS,location,Index
3.0,730.0,思明区东浦路4号之A04-A05店,厦门市思明区美信祥和药店,"118.121164,24.470724",57
3.0,733.0,凤屿路17号之9,厦门铭国堂药业有限公司（股份厦门））,"118.115517,24.472904",58
3.0,737.0,*思明区凤屿路238号,厦门市思明区如一堂药店,"118.114281,24.477539",59
3.0,744.0,思明区湖滨南路821号之115号,厦门市思明区同泰药店,"118.120048,24.477669",60
3.0,747.0,厦门市禾祥东路12号之32店,厦门市思明区维善药店,"118.10647,24.470354",61
3.0,748.0,思明区嘉禾路253号之102室,厦门市思明区祥聚堂药店,"118.122373,24.484601",62
3.0,749.0,思明区东明路5号,厦门市思明区祥康堂药局,"118.108563,24.480168",63
3.0,769.0,厦门市思明区湖滨南路310-3号,厦门市思明区众鑫泰大药房,"118.11447,24.474782",64
3.0,1238.0,莲岳路179号,筼筜社区莲岳点,"118.121223,24.484604",65
3.0,1326.0,厦门市思明区湖滨六里175号,德善堂湖滨六里店,"118.115986,24.478119",67
3.0,1025.0,思明区凤屿路384号、448号之一、之二,厦门思明槟榔门诊部,"118.113428,24.48031",68
3.0,1027.0,东浦路168-13,厦门思明传春内科诊所,"118.131872,24.474028",69
3.0,1028.0,东浦路98号之16-1,厦门思明传文中医内科诊所,"118.129913,24.473218",70
3.0,1031.0,东坪二里1号201，301室,厦门思明德善堂东坪门诊部,"118.120056,24.469757",71
3.0,1037.0,厦门市思明区厦禾路986号401室之一,厦门思明宁冠门诊部,"118.117633,24.470704",72
3.0,1045.0,*思明区松岳里35号,思明区信益堂药店,"118.11198,24.493242",73
3.0,1088.0,福建省厦门市连前西路,中国人民解放军73325部队卫生队,"118.136419,24.476672",74
3.0,1203.0,思明区长青路506号102室,思明区长青路506号102室,"118.124582,24.489818",76
3.0,1210.0,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,"118.112844,24.472701",77
3.0,1213.0,思明区长青路282号,思明区长青路282号,"118.123242,24.487458",78
3.0,1880.0,福建厦门市嘉禾路570号,厦门市思明东海门诊部,"118.119585,24.511077",79
3.0,1403.0,*思明区仙岳路241号之106店面,健康八五仙岳店,"118.097455,24.489566",80
3.0,1416.0,*湖里区嘉禾路344号之7、344号之8、344之9,健康八五十八分店,"118.129506,24.492991",81
3.0,1912.0,*福建厦门思明区后埭溪路102号之十三E1单元 ,"厦门思明区健康八五医药商店
","118.10809,24.468098",82
3.0,1941.0,厦门思明区湖光路133号,厦门市国曜医疗器械有限公司,"118.114325,24.479184",83
3.0,1950.0,思明区莲景路62号,嘉莲社区,"118.117901,24.482885",84
3.0,1960.0,福建厦门仙岳路263号,都森医疗器械,"118.099072,24.489736",85
3.0,1969.0,厦门思明区环岛东路1699号建发国际大厦19楼,"厦门市和盛祥科技有限公司
","118.191145,24.474053",87
3.0,1979.0,福建厦门市长青路283号嘉华大厦1-4楼,药房,"118.123335,24.487936",88
3.0,2010.0,"厦门湖滨北路育秀里36号三04
","厦门思明修志夫整形外科门诊部
","118.112983,24.486955",89
3.0,1830.0,仙岳路373-375号,门诊药房,"118.110066,24.493877",92
3.0,1842.0,福建厦门思明区仙岳路  ,"厦门市仙岳医院	设备科
","118.178287,24.504828",93
3.0,1916.0,"厦门莲前西路144号101室
","厦门思明建设西医妇科诊所
","118.131583,24.47556",94
3.0,2052.0,思明区东浦路22号,梧村骨科医院药房,"118.125783,24.470805",96
3.0,1381.0,思明区湖滨南路687号08室,厦门思明兰娟口腔科诊所,"118.117148,24.476965",97
3.0,753.0,*思明区莲岳路26号之六,厦门市思明区信德堂药局,"118.119791,24.484626",99
3.0,1402.0,*思明区故宫东里93号,健康八五十五分店,"118.0835,24.4638",101
3.0,1425.0,思明区湖滨四里76-79号店面,好又惠湖滨四里分店,"118.108963,24.475774",102
3.0,2695.0,厦门湖里区和通路14号店面,厦门市湖里区品信堂药局,"118.09129,24.491829",111
3.0,2696.0,厦门市湖里区和宁里125号之14,厦门市湖里区普济堂药局,"118.086593,24.498061",112
3.0,2739.0,湖里区南山路293号之一楼02室,厦门市惠康堂药店有限公司,"118.117582,24.504586",113
3.0,2892.0,东浦一里57号110,厦门市思明区百安堂药房,"118.124207,24.472847",119
3.0,2927.0,东浦路金枫园12号之27店面,厦门市思明区金鹭岛药店,"118.122724386399,24.4712903031543",130
3.0,2949.0,东浦路一里115号之十二,厦门市思明区泰安药参行,"118.125877,24.472094",134
3.0,2455.0,湖里区湖里街道和宁路69号,厦门湖里平安门诊部,"118.086769,24.496224",149
3.0,2534.0,思明区凤屿路100号13B一层,厦门市德安药房有限公司,"118.115575,24.473607",156
3.0,3382.0,后埭溪路,厦门思明海峡门诊部,"118.10709,24.468425",162
3.0,3383.0,思明区凤屿路4号,厦门思明华美医疗美容门诊部,"118.117104,24.471755",163
3.0,3389.0,思明区潘宅路134-142号店面,厦门思明洁宇门诊部,"118.16567,24.477345",167
3.0,3399.0,屿后南里151号,厦门思明齐安松柏门诊部,"118.12043,24.491432",170
3.0,3400.0,福建厦门市思明区屿后路151号,思明齐安松柏门诊部,"118.119349,24.493361",171
3.0,3404.0,思明区湖滨南路285-289号第二层,厦门思明仁爱门诊部,"118.102424,24.472081",174
3.0,3407.0,思明区东明路23号,厦门思明素英西医内科诊所,"118.109169,24.480327",175
3.0,3423.0,思明区岳阳西里152号,厦门思明育德门诊部,"118.095535,24.489835",180
3.0,3428.0,思明区厦禾路986号四楼（408-416楼、432-437室、451-452室,厦门思明长康门诊部,"118.117065,24.471021",184
3.0,3537.0,莲前路677号,中国人民解放军73322部队医院,"118.144932,24.478412",189
3.0,3144.0,福建厦门思明区仙岳路 四楼465号供应室 ,4楼供应室 ,"118.114401,24.494186",195
3.0,3619.0,厦门市思明区莲前西路503号02室,馨子墨药店,"118.140731,24.478209",209
3.0,5265.0,思明区仙岳路385号,厦门市第一强制隔离戒毒所医务室,"118.110202,24.493976",212
3.0,3767.0,文灶城书范园一楼汇文路51-59号,文灶城书范园一楼汇文路51-59号,"118.105915,24.467443",215
3.0,6768.0,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 4,德善药局,"118.254256,24.650166",217
3.0,7373.0,厦门市禾祥东路金庭花园22号之八301室,金庭花园,"118.108574,24.469388",225
3.0,6712.0,厦门市思明区嘉禾路305号114室（商场）,德善堂嘉禾店,"118.127271,24.488637",227
3.0,7483.0,*思明区厦禾路861号101-103单元,厦门思明真爱妇科专科门诊部,"118.106458,24.467054",228
3.0,12395.0,厦门市湖滨南路泛华大厦A栋2501室,湖滨南路,"118.096666,24.469955",233
3.0,11936.0,厦门市思明区湖光路92、93号（第1-6层）,厦门思明华医馆中医康复门诊部,"118.111679,24.478214",235
3.0,11937.0,思明区湖滨南路59号,厦门思明华医馆中医康复门诊部,"118.086691,24.468215",236
3.0,12855.0,思明区莲岳里230号,屿后分店,"118.119128,24.493316",239
3.0,12857.0,湖里区和通里26号,和通里分店,"118.089975,24.496362",240
3.0,12868.0,思明区后埭溪路248号龙景台一层24号店面,龙景台分店,"118.106507,24.47157",241
3.0,12872.0,厦门市思明区侨岳里27-38号 ,松柏分店,"118.116395,24.494753",242
3.0,12904.0,思明区东坪二里1-3号店面,东坪分店,"118.12064,24.470312",243
3.0,12873.0,厦门市思明区松岳里124-6号,松岳分店,"118.111779,24.493764",245
3.0,12882.0,思明区莲岳路173号之十五店面,莲岳分店,"118.115874,24.488267",246
3.0,12883.0,思明区湖明路136号之101、莲景路3号、莲景路5号,莲坂新村分店,"118.116472,24.482788",247
3.0,12885.0,思明区湖明路22号A单元右侧店面,湖明分店,"118.117618,24.478206",248
3.0,13153.0,湖滨南路328号亿宝大厦11楼采购部,亿宝大厦,"118.118125,24.474176",249
3.0,13894.0,厦门市思明区莲坂商业广场北区159号,厦门市绿浪医疗器械有限公司,"118.122494,24.479443",252
3.0,12815.0,思明区东浦路1号楼105、106室,东浦分店,"118.129518,24.473381",253
3.0,12818.0,厦门市思明区湖滨南路293号,湖滨一里分店,"118.102723,24.472157",254
3.0,12820.0,厦门市思明区天虹商场二楼,天虹分店,"118.10324,24.461989",255
3.0,12822.0,厦门市思明区长青北里110号,长青路分店,"118.120209,24.487807",256
3.0,12853.0,厦门市思明区东明路27号,湖东分店,"118.109363,24.480381",258
3.0,19520.0,思明区湖滨北路250-252号二楼,厦门思明聚德口腔专科门诊部,"118.122258,24.487863",260
3.0,28210.0,思明区后埭溪路28号皇达大厦西南侧二层A,厦门思明心和门诊部,"118.105565,24.47166",268
3.0,20616.0,厦门思明区莲前西路2号F10B,厦门思明区,"118.121268,24.47597",269
3.0,22106.0,厦门市思明区槟榔西里255号101单元之一,厦门思明林驹中医诊所,"118.107948,24.481018",273
3.0,23763.0,厦门市思明区香秀里36号育秀中心商场104单元,厦门市瑞来春药店有限公司,"118.132867,24.489808",274
3.0,23983.0,厦门市思明区湖滨东路196号附属商业裙楼之201,厦门天使口腔医院,"118.11055,24.476568",275
3.0,24868.0,厦门市思明区东坪山路25号之十三,东坪路分店,"118.121522,24.468441",276
3.0,26752.0,厦门市思明区湖滨南路328号20C3室,厦门桫椤贸易有限公司,"118.116172,24.474037",278
3.0,26833.0,思明区金榜路61-76凯旋广场二层A块商场二楼,厦门思明扶元堂中医门诊部,"118.110015,24.468964",279
3.0,27292.0,湖里区湖里街道和宁路50号,福建省厦门第六中学高中部医务室,"118.088959,24.494695",280
3.0,21943.0,思明区厦禾路875号之25,厦门思明福章中医皮肤科诊所,"118.108641,24.468259",281
3.0,29350.0,厦门市思明区仙岳路488号201室之二,厦门市千里明视康保健服务有限公司,"118.121478,24.496166",283
3.0,29470.0,思明区育秀里13-15号商场及16号之（1）商场,厦门思明和仁门诊部（股份厦门）,"118.114135,24.486173",284
3.0,30865.0,厦门市思明区仙岳路松岳里29号,燕来福（厦门思明琼芳中医诊所）,"118.111624,24.493098",287
3.0,31028.0,厦门市思明区后埭溪路109号中心商场及周边B、C、D、I、R商场,公司仓库,"118.106855,24.467748",290
3.0,31029.0,厦门市思明区屿后南里107-109号第一层,公司仓库,"118.121955,24.492036",291
3.0,31070.0,思明区东浦路82号2楼在鹭峰宾馆对面,（燕来福）厦门市美信好又惠医药有限公司,"118.128734,24.472225",292
3.0,31072.0,厦门市思明区东坪二里130-131号,仓库,"118.12107,24.468543",293
3.0,31073.0,厦门市思明区湖明路12-16号,公司仓库,"118.118225,24.477447",294
3.0,31075.0,厦门市思明区嘉禾路347号101单元,（燕来福）厦门市思明区济慈大药房,"118.126146,24.497636",296
3.0,31077.0,厦门市思明区后埭溪路126号之三店,仓库,"118.107273,24.468466",297
3.0,31079.0,厦门市思明区莲岳路26号之6,仓库,"118.119629,24.484876",299
3.0,20738.0,厦门市湖里区仙岳路41-51号3号楼2层,厦门东渡老年公寓,"118.08726,24.492819",310
3.0,30853.0,厦门市思明区屿后北里450号,海峡两岸（厦门思明罗庆模中医科诊所）,"118.122004,24.495655",324
3.0,31644.0,厦门市思明区仙阁里小区92号一层,分店,"118.117824,24.495619",332
3.0,31676.0,厦门市思明区禾祥东路170号之二十四,仓库,"118.116063,24.471674",334
3.0,29811.0,厦门市思明区双涵路49号,厦门思明勇华中医(综合)诊所,"118.117943,24.472706",346
3.0,31803.0,厦门市思明区莲岳里162号之十,仓库,"118.118036,24.494537",349
3.0,31878.0,思明区东浦路98号16-1#店面,诊所,"118.129974,24.47263",352
3.0,32075.0,厦门市思明区湖滨北路119号,燕来福,"118.102333,24.483333",367
3.0,32591.0,厦门市思明区湖滨东路184-201号,厦门思明蓝天门诊部有限公司,"118.111381,24.475093",370
3.0,26673.0,厦门市思明区厦禾路839号汇成商业中心1303室,厦门,"118.104894,24.467249",371
3.0,32450.0,厦门市思明区凤屿路450-468号102单元,厦门榔中药房有限公司,"118.112706,24.482481",372
3.0,34195.0,厦门市湖里区华泰路A幢二层,湖里公司,"118.105542,24.507558",377
3.0,34205.0,思明区嘉禾路162号第一层123单元,,"118.126068,24.485934",378
3.0,34232.0,思明区松岳里117号,松岳店,"118.111165,24.493634",379
3.0,27791.0,思明区厦禾路983号121单元207单元,厦门思明薇格整形外科门诊部,"118.118562,24.473126",380
3.0,29730.0,厦门市思明区莲前西路19-101、21号及21号-1,厦门兴鹭康中西药房有限公司,"118.12272,24.477007",381
3.0,38158.0,厦门市思明区凤屿路34号之229(三节点二层21-24号柱子),厦门思明永福康门诊部(股份厦门）,"118.114051,24.478383",387
3.0,45294.0,厦门市思明区后埭溪路145号101-01室B区、145号101夹层、145号201室,厦门思明乾圣太和堂中医门诊部有限公司,"118.106883,24.468567",388
3.0,51323.0,厦门市思明区凤屿路34号之299,海峡两岸,"118.114179,24.47781",392
3.0,51454.0,厦门市思明区厦禾路799号之8,厦门康仕公司地址,"118.096288,24.464565",395
3.0,51456.0,厦门市思明区厦禾路1226-1228号聚泰商业城1504室,圣安康健,"118.120653,24.475285",396
3.0,53101.0,思明区嘉禾路875号之25,燕来福,"118.1225,24.4825",399
3.0,36930.0,厦门市思明区嘉禾路62号之1、之2、莲坂商业广场西区37号,厦门兴鹭康中西药房有限公司嘉禾分公司(股份厦门）,"118.121688,24.479017",400
3.0,53325.0,厦门市思明区金榜路82号103.104单元一楼二楼，102单元二楼，129单元二楼,燕来福,"118.11091,24.469531",405
3.0,52069.0,厦门市思明区东浦路68号之141,公司仓库,"118.127047,24.471702",408
3.0,52070.0,厦门市思明区凤屿路418号,公司仓库,"118.113077,24.481316",409
3.0,52147.0,思明区浦南一组7号之三店面,厦门思明伍赐中医诊所,"118.1165,24.470125",413
3.0,50959.0,开元淑环中医内科诊所,燕来福（开元淑环中医内科诊所）,"118.162002,24.528972",416
3.0,34691.0,厦门市思明区凤屿路468-2号,厦门市思明区榔中药房,"118.112961,24.48244",418
3.0,54100.0,厦门市思明区湖滨四里48号之三店面,海峡两岸,"118.10912,24.475574",419
3.0,39993.0,厦门市思明区凤屿路118号店面,厦门思明晟东海门诊部有限公司,"118.112836,24.482096",420
3.0,50022.0,厦禾路878-888号（火车站沃尔玛内一楼）,燕来福,"118.114261,24.468004",421
3.0,48041.0,厦门市思明区厦禾路881号之三十六,公司仓库,"118.110217,24.468378",426
3.0,62093.0,厦门市思明区湖滨北路183号之二(一楼、二楼),厦门思明伊美整形外科门诊部（股份厦门）,"118.122938,24.48848",428
3.0,56271.0,厦门市思明区东浦路128号浦南公寓,公司仓库,"118.13425,24.473272",433
3.0,50254.0,厦门市思明区槟榔西里148号第八层第一单元,厦门新钛镁医疗器械有限公司,"118.110001,24.480241",434
3.0,61893.0,厦门市思明区凤屿路2号一层致四层,厦门思明脸博士整形外科门诊部（股份厦门）,"118.116764,24.471431",435
3.0,44513.0,厦门市思明区东浦路128-11,"厦门市思明区朝晖堂中医(综合)诊所
","118.133764,24.474192",443
3.0,61093.0,思明区凤屿路186号之51一层,厦门思明德丰堂福津门诊部,"118.11523,24.47558",446
3.0,36453.0,厦门市思明区松柏路64号103单元一楼、104单元一楼之二,海峡两岸,"118.121665,24.491251",452
3.0,34713.0,厦门市思明区东埔路68号之141,厦门得心堂医药有限公司(股份厦门）,"118.127625,24.469545",453
3.0,45633.0,厦门市思明区松岳路10号悦亨中心2楼L2-10B号商铺,厦门思明汉绅陈新龙医疗美容诊所（股份厦门）,"118.113113,24.494312",455
3.0,62234.0,2楼,仓库,"118.111303,24.495932",461
3.0,33492.0,厦门市思明区莲景二路41、43号一层及夹层,厦门思明廖振芳内科诊所,"118.1185,24.480264",473
3.0,55834.0,厦门市思明区仙岳路355号202室,仓库,"118.108056,24.493144",494
3.0,174228.0,莲前西路142号101-102室,莲前社区龙山桥药房,"118.13145,24.475568",498
3.0,143205.0,思明区侨岳里27-31号之八,松柏分店,"118.116848,24.494822",502
3.0,179257.0,厦门市思明区厦禾路1222号201室及夹层,厦门明和素问健康管理有限公司,"118.120555,24.474339",503
3.0,197787.0,厦门市思明区体育路131号3号商场之2,厦门市德承堂药房有限公司（股份厦门）,"118.114958,24.489803",504
3.0,83256.0,厦门市湖里区和通里22号,厦门市品信健康大药房有限公司和通里分公司（股份厦门）,"118.091979,24.492847",505
3.0,389898.0,厦门市思明区长青路178号之一、之二1A,厦门思明嘉华门诊部有限公司,"118.120366,24.485253",507
3.0,1040942.0,主楼11楼,康复科,"118.122154,24.493364",508
3.0,263468.0,湖里区和旭里7-9号一层西侧,(燕来福)厦门市古今湖滨药店连锁有限公司,"118.089267,24.498653",510
3.0,263660.0,思明区湖滨东路319号,（燕来福）厦门思明金桥门诊部,"118.102158,24.489235",522
3.0,292806.0,厦门市思明区禾祥西路777号A室一层之二，二层之二,海峡两岸（厦门思明康福门诊部）,"118.099004,24.468581",523
3.0,272225.0,思明区湖光路50-1号之11-14号店面,燕来福（厦门思明孟坤龙中医诊所）,"118.11372,24.475208",531
3.0,263555.0,厦门市思明区湖滨东路66号301、302、303、305、345单元,厦门思明李强美丽薇医疗美容诊所（股份厦门）,"118.113712,24.47141",536
3.0,316777.0,"厦门市思明区金榜路151号3楼,153号3楼",厦门思明安泰正元堂中医门诊部（股份厦门）,"118.109378,24.472024",540
3.0,335082.0,厦门市思明区嘉禾路345号(138-140、143、145、151-175单元)一层及夹层,厦门思明国尊门诊部（股份厦门）,"118.12602,24.4972",541
3.0,388193.0,厦门市思明区湖滨东路66号鸿运大厦裙楼二层205-22,厦门思明古真中医门诊部,"118.113673,24.471454",543
3.0,396138.0,厦门市思明区松岳路10号悦享中心项目B1楼08-09号商铺,厦门思明万家悦享中心门诊部,"118.112554,24.494061",544
3.0,392878.0,厦门市思明区莲前西路439号之二之七一楼店面A单元及二楼,厦门思明康和堂中医门诊部（股份厦门）,"118.141212,24.478219",546
3.0,392879.0,厦门市思明区厦禾路875号之15,厦门市林一剂药店有限公司(股份厦门）,"118.108805,24.468339",547
3.0,392716.0,厦门市思明区莲前西路18号之八、20号之一(一层)、18号之八、20号之一、20号之二(夹层),回春堂中医门诊部,"118.125117,24.476381",549
3.0,391317.0,厦门市思明区厦禾路873号之五A单元一层夹层及二层,厦门思明汇聚丰门诊部,"118.108739,24.46757",550
3.0,391379.0,厦门市思明区凤屿路108号、34-25号、34号之二十一、二十二、二十四,厦门思明海凤门诊部（股份厦门）,"118.1154,24.47404",555
3.0,396661.0,厦门市思明区莲景二路37号之二,厦门思明极光美学乔风医疗美容诊所,"118.11851,24.48006",560
3.0,396636.0,厦门市思明区松岳路10号悦享中心2楼L2-10B号商铺,陈新龙美容诊所,"118.112117,24.493971",563
3.0,936178.0,厦门市思明区厦禾路1126号富兴大厦2楼(商铺29-35、37-39、41-45),厦门思明新生医疗美容门诊部（股份厦门）,"118.120007,24.473036",570
3.0,684833.0,湖里区湖里街道仙岳路66号2#楼,厦门国宇健康管理中心有限公司湖里第一门诊部(股份厦门）,"118.087742,24.49085",572
3.0,949963.0,厦门市思明区凤屿路97号,厦门鸿裕堂药业有限公司（股份厦门）,"118.115088,24.474426",573
3.0,883374.0,厦门市思明区嘉禾路297号宝龙中心一期二层201-210、216-221单元,厦门思明华呈整形外科门诊部有限公司,"118.127062,24.488344",575
3.0,701479.0,湖里区湖里街道东渡路106号之三二楼,厦门湖里翼达东渡口腔门诊部（股份厦门）,"118.08135,24.487547",578
3.0,700588.0,厦门市湖滨南路328号亿宝大厦一层、十二至十五层,三明,"118.116274,24.474054",582
3.0,737339.0,湖滨一里106号2楼,筼筜社区一里点,"118.103544,24.473682",583
3.0,715957.0,厦门市思明区连岳路16号之四、之五及16、20号（夹层B区）,厦门思明藏德上医堂中医门诊部有限公司,"118.121101,24.484532",597
3.0,569625.0,厦门市思明区湖明路22-28号第三层A单元之一,厦门思明素问堂中医门诊部,"118.117412,24.478882",613
3.0,653531.0,厦门市思明区湖滨东路307号宏泰文化创意产业园二号楼1-4层东侧,厦门亚当医院(股份厦门）,"118.103842,24.485755",616
3.0,712239.0,厦门市思明区厦禾路668号第十三层,华润（厦门）医药,"118.095005,24.463204",618
3.0,714045.0,厦门市思明区莲岳路196号及190-200号第一层,厦门思明鼎豪口腔门诊部,"118.1166,24.491093",619
3.0,745570.0,厦门市思明区屿后南里110号之六-七,厦门思明济康诊所（股份厦门）,"118.123468,24.492714",621
3.0,555491.0,厦门市思明区湖滨东路6号2108室,厦门威康医疗器械,"118.114435,24.471201",622
3.0,704582.0,厦门市思明区仙岳路601号之6,厦门德厚堂医药有限公司,"118.121789,24.497159",623
3.0,684774.0,厦门市思明区厦禾路983号201单元及夹层,厦门思明雍禾美度整形外科门诊部（股份厦门）,"118.119166,24.473291",624
3.0,427068.0,厦门市思明区嘉禾路233号1-4层商场,厦门美莱医疗美容医院有限公司（股份厦门）,"118.123312,24.484594",625
3.0,534254.0,厦门市思明区育秀里9-12号,厦门百特盛康血液透析中心(股份厦门）,"118.113827,24.4868",626
3.0,438113.0,厦门市思明区湖滨三里107-110号第二楼西侧,厦门思明沁安堂中医门诊部,"118.107786,24.476745",627
3.0,438263.0,厦门市思明区仙岳路851号A36幢1-2层及二层夹层,厦门思明向健特莱美医疗美容诊所（股份厦门）,"118.121853,24.499261",629
3.0,1060300.0,厦门市思明区东明路214号之一,厦门思明新伟西内科诊所(股份厦门）,"118.112035,24.481436",630
3.0,1035361.0,厦门市思明区湖滨南路388号3B之一、3C之一、3C之二,厦门思明俪人整形外科门诊部（股份厦门）,"118.119142,24.475622",631
3.0,1060200.0,厦门市思明区槟榔东里93号102室,厦门思明刘彬西医内科诊所(股份厦门）,"118.115679,24.482406",633
3.0,1076114.0,厦门市思明区后埭溪路248号之三十,厦门思明金榜口腔诊所（股份厦门）,"118.106217,24.471437",635
3.0,1150062.0,厦门市思明区双涵路99号一层,厦门康德健医药有限公司（股份厦门）,"118.116655,24.473013",636
3.0,1180948.0,湖里区湖里街道和通里134号,厦门湖里立民中医（综合）诊所（股份厦门）,"118.093349,24.494676",639
