ROUTEID,TRANSID,INCEPTADDR,SENDPOS,location
3,1210,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,"118.112844,24.472701"
3,1213,思明区长青路282号,思明区长青路282号,"118.123242,24.487458"
3,1880,福建厦门市嘉禾路570号,厦门市思明东海门诊部,"118.119585,24.511077"
3,1403,*思明区仙岳路241号之106店面,健康八五仙岳店,"118.097455,24.489566"
3,1416,*湖里区嘉禾路344号之7、344号之8、344之9,健康八五十八分店,"118.129506,24.492991"
3,1912,*福建厦门思明区后埭溪路102号之十三E1单元 ,"厦门思明区健康八五医药商店
","118.10809,24.468098"
3,1941,厦门思明区湖光路133号,厦门市国曜医疗器械有限公司,"118.114325,24.479184"
3,1950,思明区莲景路62号,嘉莲社区,"118.117901,24.482885"
3,1960,福建厦门仙岳路263号,都森医疗器械,"118.099072,24.489736"
3,1961,莲岳里14号,员筜社区,"118.115605,24.49219"
3,1969,厦门思明区环岛东路1699号建发国际大厦19楼,"厦门市和盛祥科技有限公司
","118.191145,24.474053"
3,1979,福建厦门市长青路283号嘉华大厦1-4楼,药房,"118.123335,24.487936"
3,2010,"厦门湖滨北路育秀里36号三04
","厦门思明修志夫整形外科门诊部
","118.112983,24.486955"
3,2011,"厦门仙岳路1153号
","厦门思明张铭医疗美容诊所
","118.124748,24.502704"
3,1819,思明区金榜路58号,中山金榜分院,"118.110738,24.466996"
3,1830,仙岳路373-375号,门诊药房,"118.110066,24.493877"
3,1842,福建厦门思明区仙岳路  ,"厦门市仙岳医院	设备科
","118.178287,24.504828"
3,1916,"厦门莲前西路144号101室
","厦门思明建设西医妇科诊所
","118.131583,24.47556"
3,2050,"思明区金榜路61-67号第五层22-2室
","厦门中迅达科技有限公司
","118.11008,24.46859"
3,2052,思明区东浦路22号,梧村骨科医院药房,"118.125783,24.470805"
3,1381,思明区湖滨南路687号08室,厦门思明兰娟口腔科诊所,"118.117148,24.476965"
3,2181,亿宝大厦11楼5890282,国大连锁亿宝大厦,"118.116173,24.474018"
3,753,*思明区莲岳路26号之六,厦门市思明区信德堂药局,"118.119791,24.484626"
3,1399,*思明区后埭溪路102号之十三E1单元,健康八五后埭溪店,"118.10809,24.468098"
3,1402,*思明区故宫东里93号,健康八五十五分店,"118.0835,24.4638"
3,1425,思明区湖滨四里76-79号店面,好又惠湖滨四里分店,"118.108963,24.475774"
3,2283,厦门市思明区金橡南路19号,厦门市思明区金橡南路19号,"118.082658,24.445567"
3,2331,厦门市思明区金榜路58号,金榜分院,"118.110738,24.466996"
3,1374,仙岳路中段399号,仙岳医院住院药房,"118.111082,24.495411"
3,1813,"福建厦门屿后南里238号
","厦门市社会福利中心
","118.121882,24.492903"
3,1821,厦门市思明区屿后南里130-131号1-2层,思明齐安松柏门诊部,"118.121047,24.491741"
3,1844,"福建厦门思明区仙岳路 
","厦门市仙岳医院	供应室
","118.178287,24.504828"
3,1846,福建厦门思明区仙岳路  ,"厦门市仙岳医院	检验科
","118.178287,24.504828"
3,2648,湖里区和宁里125之11号,厦门市湖里区慈善堂药店,"118.08675,24.497714"
3,2695,厦门湖里区和通路14号店面,厦门市湖里区品信堂药局,"118.09129,24.491829"
3,2696,厦门市湖里区和宁里125号之14,厦门市湖里区普济堂药局,"118.086593,24.498061"
3,2739,湖里区南山路293号之一楼02室,厦门市惠康堂药店有限公司,"118.117582,24.504586"
3,2828,*思明区后埭溪路102号之十三E1单元,健康八五后埭溪店,"118.10809,24.468098"
3,2831,*思明区禾祥东路38号之二,健康八五禾祥东店,"118.108215,24.46834"
3,2832,*思明区仙岳路241号之106店面,健康八五仙岳店,"118.097455,24.489566"
3,2848,*福建厦门思明区后埭溪路102号之十三E1单元 ,"厦门思明区健康八五医药商店
","118.10809,24.468098"
3,2891,*思明区湖光路78号之10-11号,厦门市思明区安仁堂药店,"118.11134,24.47807"
3,2892,东浦一里57号110,厦门市思明区百安堂药房,"118.124207,24.472847"
3,2897,坂尾路17-19号之2室,厦门市思明区草济堂药局,"118.12222,24.473786"
3,2898,*厦禾路881号千禧园36号,厦门市思明区德康堂药局,"118.11013,24.468182"
3,2901,思明区嘉禾路303号114室,厦门市思明区德善药局,"118.126974,24.488979"
3,2902,*东坪二里130号,厦门市思明区德鑫堂药局,"118.12059,24.46921"
3,2908,湖明路12-16号,厦门市思明区富康药店,"118.117897,24.477373"
3,2910,莲前西路51号之4,厦门市思明区广莲堂药店,"118.125222,24.477086"
3,2911,思明区禾祥东路38号之二店,厦门市思明区旱霖药店,"118.108215,24.46834"
3,2916,长青路251号,厦门市思明区惠康大药房,"118.123944,24.486119"
3,2917,莲岳里162号之十,厦门市思明区惠瑞药店,"118.118538,24.494673"
3,2919,*莲岳路永升松柏中心CD座一层17号,厦门市思明区集善堂药店,"118.11628,24.490929"
3,2927,东浦路金枫园12号之27店面,厦门市思明区金鹭岛药店,"118.122724386399,24.4712903031543"
3,2936,思明区东浦路4号之A04-A05店,厦门市思明区美信祥和药店,"118.121164,24.470724"
3,2940,凤屿路17号之9,厦门市思明区铭国堂药店,"118.115517,24.472904"
3,2944,思明区凤屿路238号,厦门市思明区如一堂药店,"118.114281,24.477539"
3,2949,东浦路一里115号之十二,厦门市思明区泰安药参行,"118.125877,24.472094"
3,2951,思明区湖滨南路821号之115号,厦门市思明区同泰药店,"118.120048,24.477669"
3,2954,厦门市禾祥东路12号之32店,厦门市思明区维善药店,"118.10647,24.470354"
3,2955,思明区嘉禾路253号之102室,厦门市思明区祥聚堂药店,"118.122373,24.484601"
3,2956,思明区东明路5号,厦门市思明区祥康堂药局,"118.108563,24.480168"
3,2960,*思明区莲岳路26号之六,厦门市思明区信德堂药局,"118.119791,24.484626"
3,2976,厦门市思明区湖滨南路310-3号,厦门市思明区众鑫泰大药房,"118.11447,24.474782"
3,2341,思明区金榜路58号,中山金榜分院,"118.110738,24.466996"
3,2379,莲岳里14号,筼筜残联点药房,"118.115605,24.49219"
3,2392,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,"118.116241,24.493682"
3,2394,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,"118.116241,24.493682"
3,2396,厦门市思明区湖滨六里175号,德善堂湖滨六里店,"118.115986,24.478119"
3,2398,思明区湖滨六里159号,厦门东南医药有限公司大洲分店,"118.116035,24.478996"
3,2399,仙阁里小区92号一层,厦门东南医药有限公司仙阁里分店,"118.117699,24.49679"
3,2406,厦门市湖滨东路9号,厦门国泰妇科医院,"118.113753,24.47014"
3,2455,湖里区湖里街道和宁路69号,厦门湖里平安门诊部,"118.086769,24.496224"
3,2518,禾祥东路170号之24店面,厦门妙春堂药店有限公司,"118.116289,24.471444"
3,2519,思明区后埭溪路109号中心商场(银龙广场一期),厦门闽篮超市有限公司禾祥店,"118.106719,24.468559"
3,2520,湖里区嘉园路26号,厦门闽篮超市有限公司松柏店,"118.112031,24.51542"
3,2527,仙岳路中段373-375号,爱心护理院药房,"118.109833,24.493876"
3,2528,仙岳路373-375号,门诊药房,"118.110066,24.493877"
3,2530,厦门市仙岳路468号,厦门市康复医院,"118.119911,24.495454"
3,2534,思明区凤屿路100号13B一层,厦门市德安药房有限公司,"118.115575,24.473607"
3,2584,开元区屿后南里238号,松柏医院药房,"118.121882,24.492903"
3,2585,"福建厦门屿后南里238号
","厦门市社会福利中心
","118.121882,24.492903"
3,3720,莲岳里14号,员筜社区,"118.115605,24.49219"
3,3378,金榜路61-67号,厦门思明扶元堂中医康复门诊部,"118.109695,24.468756"
3,3380,思明区湖滨南路625号,厦门思明富山门诊部,"118.11657,24.475922"
3,3382,后埭溪路,厦门思明海峡门诊部,"118.10709,24.468425"
3,3383,思明区凤屿路4号,厦门思明华美医疗美容门诊部,"118.117104,24.471755"
3,3384,湖滨南路815号万禾广场二层,厦门思明黄岩医疗美容诊所,"118.119024,24.476991"
3,3387,莲前西路114号101室,厦门思明建设西医妇科诊所,"118.130472,24.47525"
3,3388,"厦门莲前西路144号101室
","厦门思明建设西医妇科诊所
","118.131583,24.47556"
3,3389,思明区潘宅路134-142号店面,厦门思明洁宇门诊部,"118.16567,24.477345"
3,3394,莲岳路16号之16.18-203室,厦门思明康健（旧的）,"118.12058,24.484302"
3,3398,思明区仙岳路463-467号聚祥花园A栋三层,厦门思明欧菲医疗美容门诊部,"118.1155,24.494629"
3,3399,屿后南里151号,厦门思明齐安松柏门诊部,"118.12043,24.491432"
3,3400,福建厦门市思明区屿后路151号,思明齐安松柏门诊部,"118.119349,24.493361"
3,3402,思明槟榔西里150号天湖大厦A座1-4,厦门思明区梧村骨科医院,"118.110549,24.480249"
3,3403,思明区东浦路22号,梧村骨科医院药房,"118.125783,24.470805"
3,3404,思明区湖滨南路285-289号第二层,厦门思明仁爱门诊部,"118.102424,24.472081"
3,3407,思明区东明路23号,厦门思明素英西医内科诊所,"118.109169,24.480327"
3,3414,思明区厦禾路1106号,厦门思明新鹭厦门诊部,"118.120612,24.471684"
3,3415,思明区湖滨北路育秀里36号三楼304单元,厦门思明修志夫整形外科门诊部,"118.111681,24.485806"
3,3416,"厦门湖滨北路育秀里36号三04
","厦门思明修志夫整形外科门诊部
","118.112983,24.486955"
3,3420,厦门市思明区禾祥东路18-13号,厦门思明艺贞禾祥诊所,"118.108367,24.470086"
3,3423,思明区岳阳西里152号,厦门思明育德门诊部,"118.095535,24.489835"
3,3425,思明区莲岳里72号,厦门思明再福中医诊所,"118.116542,24.491903"
3,3426,仙岳路1153号,厦门思明张铭医疗美容诊所,"118.124748,24.502704"
3,3427,"厦门仙岳路1153号
","厦门思明张铭医疗美容诊所
","118.124748,24.502704"
3,3428,思明区厦禾路986号四楼（408-416楼、432-437室、451-452室,厦门思明长康门诊部,"118.117065,24.471021"
3,3472,长青路283号嘉华大厦1-4楼,厦门友好妇产医院,"118.12356,24.488194"
3,3477,厦门市思明区金榜路61-67号第五层22室,厦门中讯达科技有限公司,"118.11008,24.46859"
3,3478,"思明区金榜路61-67号第五层22-2室
","厦门中迅达科技有限公司
","118.11008,24.46859"
3,3487,*思明区松岳里35号,思明区信益堂药店,"118.11198,24.493242"
3,3537,莲前路677号,中国人民解放军73322部队医院,"118.144932,24.478412"
3,3538,福建省厦门市连前西路,中国人民解放军73325部队卫生队,"118.136419,24.476672"
3,3550,思明区仙阁里162号之102,厦门思明晓明诊所,"118.11693,24.495667"
3,3141,仙岳路中段399号,仙岳医院药库,"118.111082,24.495411"
3,3142,仙岳路中段399号,仙岳医院住院药房,"118.111082,24.495411"
3,3143,福建厦门思明区仙岳路  ,"厦门市仙岳医院	设备科
","118.178287,24.504828"
3,3144,福建厦门思明区仙岳路 四楼465号供应室 ,4楼供应室 ,"118.114401,24.494186"
3,3145,福建厦门思明区仙岳路  ,"厦门市仙岳医院	检验科
","118.178287,24.504828"
3,2879,思明区湖滨四里76-79号店面,好又惠湖滨四里分店,"118.108963,24.475774"
3,3363,思明区凤屿路384号、448号之一、之二,厦门思明槟榔门诊部,"118.113428,24.48031"
3,3365,东浦路168-13,厦门思明传春内科诊所,"118.131872,24.474028"
3,3366,东浦路98号之16-1,厦门思明传文中医内科诊所,"118.129913,24.473218"
3,3370,东坪二里1号201，301室,厦门思明德善堂东坪门诊部,"118.120056,24.469757"
3,3376,思明区凤屿路116、118号店面,厦门思明东海门诊部,"118.11527,24.474423"
3,3377,福建厦门市嘉禾路570号,厦门市思明东海门诊部,"118.119585,24.511077"
3,3568,思明区育秀里36号二层之204室,思明区育秀里36号,"118.111681,24.485806"
3,3575,思明区长青路506号102室,思明区长青路506号102室,"118.124582,24.489818"
3,3584,莲岳路179号,筼筜莲岳点药房,"118.121223,24.484604"
3,3585,思明区长青路282号,思明区长青路282号,"118.123242,24.487458"
3,3588,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,"118.112844,24.472701"
3,3619,厦门市思明区莲前西路503号02室,馨子墨药店,"118.140731,24.478209"
3,3694,厦门思明区环岛东路1699号建发国际大厦19楼,"厦门市和盛祥科技有限公司
","118.191145,24.474053"
3,3700,福建厦门市长青路283号嘉华大厦1-4楼,药房,"118.123335,24.487936"
3,5265,思明区仙岳路385号,厦门市第一强制隔离戒毒所医务室,"118.110202,24.493976"
3,5266,思明区仙岳路385号,厦门市第一强制隔离戒毒所医务室,"118.110202,24.493976"
3,3752,思明区莲景路62号,嘉莲社区,"118.117901,24.482885"
3,3767,文灶城书范园一楼汇文路51-59号,文灶城书范园一楼汇文路51-59号,"118.105915,24.467443"
3,3769,厦门思明区湖光路133号,厦门市国曜医疗器械有限公司,"118.114325,24.479184"
3,6768,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 4,德善药局,"118.254256,24.650166"
3,6771,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 3,湖滨六里,"118.254256,24.650166"
3,6778,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 9,维善药店,"118.254256,24.650166"
3,6782,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 8,美信祥和,"118.254256,24.650166"
3,6783,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 8,美信祥和,"118.254256,24.650166"
3,6785,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 9,维善药店,"118.254256,24.650166"
3,6765,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 4,德善药局,"118.254256,24.650166"
3,6766,厦门市翔安区舫阳西路11-29号生产车间(一期)第三层之五单元 3,湖滨六里,"118.254256,24.650166"
3,7373,厦门市禾祥东路金庭花园22号之八301室,金庭花园,"118.108574,24.469388"
3,7374,厦门市禾祥东路金庭花园22号之八301室,金庭花园,"118.108574,24.469388"
3,6712,厦门市思明区嘉禾路305号114室（商场）,德善堂嘉禾店,"118.127271,24.488637"
3,7483,*思明区厦禾路861号101-103单元,厦门思明真爱妇科专科门诊部,"118.106458,24.467054"
3,7485,*思明区厦禾路861号101-103单元,厦门思明真爱妇科专科门诊部,"118.106458,24.467054"
3,9695,厦门市思明区屿后南里238号,厦门市社会福利中心,"118.121882,24.492903"
3,12030,长青路282号,厦门思明杨玲西医内科诊所,"118.123242,24.487458"
3,12031,长青路282号,厦门思明杨玲西医内科诊所,"118.123242,24.487458"
3,12395,厦门市湖滨南路泛华大厦A栋2501室,湖滨南路,"118.096666,24.469955"
3,12396,厦门市湖滨南路泛华大厦A栋2501室,湖滨南路,"118.096666,24.469955"
3,11936,厦门市思明区湖光路92、93号（第1-6层）,厦门思明华医馆中医康复门诊部,"118.111679,24.478214"
3,11937,思明区湖滨南路59号,厦门思明华医馆中医康复门诊部,"118.086691,24.468215"
3,12393,厦门市禾祥东路金庭花园22号之八301室,金庭花园,"118.108574,24.469388"
3,12394,厦门市禾祥东路金庭花园22号之八301室,金庭花园,"118.108574,24.469388"
3,12855,思明区莲岳里230号,屿后分店,"118.119128,24.493316"
3,12857,湖里区和通里26号,和通里分店,"118.089975,24.496362"
3,12868,思明区后埭溪路248号龙景台一层24号店面,龙景台分店,"118.106507,24.47157"
3,12872,厦门市思明区侨岳里27-38号 ,松柏分店,"118.116395,24.494753"
3,12904,思明区东坪二里1-3号店面,东坪分店,"118.12064,24.470312"
3,14176,厦门市湖滨东路9号,厦门鹭港妇产医院,"118.113753,24.47014"
3,12873,厦门市思明区松岳里124-6号,松岳分店,"118.111779,24.493764"
3,12882,思明区莲岳路173号之十五店面,莲岳分店,"118.115874,24.488267"
3,12883,思明区湖明路136号之101、莲景路3号、莲景路5号,莲坂新村分店,"118.116472,24.482788"
3,12885,思明区湖明路22号A单元右侧店面,湖明分店,"118.117618,24.478206"
3,13153,湖滨南路328号亿宝大厦11楼采购部,亿宝大厦,"118.118125,24.474176"
3,13375,厦门市后埭溪路248号龙景台一层23#,后埭溪分店,"118.106507,24.47157"
3,13579,仙岳路468号,筼筜社区残联点,"118.119911,24.495454"
3,13894,厦门市思明区莲坂商业广场北区159号,厦门市绿浪医疗器械有限公司,"118.122494,24.479443"
3,12815,思明区东浦路1号楼105、106室,东浦分店,"118.129518,24.473381"
3,12818,厦门市思明区湖滨南路293号,湖滨一里分店,"118.102723,24.472157"
3,12820,厦门市思明区天虹商场二楼,天虹分店,"118.10324,24.461989"
3,12822,厦门市思明区长青北里110号,长青路分店,"118.120209,24.487807"
3,14196,厦门市湖滨东路9号,厦门鹭港妇产医院,"118.113753,24.47014"
3,12853,厦门市思明区东明路27号,湖东分店,"118.109363,24.480381"
3,19519,福建厦门思明区仙岳路  ,放射科,"118.178287,24.504828"
3,19520,思明区湖滨北路250-252号二楼,厦门思明聚德口腔专科门诊部,"118.122258,24.487863"
3,19680,厦门市思明区东浦路82号第二层 9 ,"好又惠定安分店
","118.128637,24.471948"
3,19681,厦门市思明区东浦路82号第二层 7 ,"好又惠湖滨四里分店
","118.128637,24.471948"
3,19682,厦门市思明区东浦路82号第二层 8 ,"好又惠湖滨南总店
","118.128637,24.471948"
3,19540,厦门市思明区东浦路82号第二层 11 ,"好又惠集美北区分店
","118.128637,24.471948"
3,19541,厦门市思明区东浦路82号第二层 10 ,"好又惠海沧分店
","118.128637,24.471948"
3,19542,厦门市思明区东浦路82号第二层 15 ,"好又惠第十五分店
","118.128637,24.471948"
3,19543,厦门市思明区东浦路82号第二层 14 ,"好又惠万寿分店
","118.128637,24.471948"
3,28210,思明区后埭溪路28号皇达大厦西南侧二层A,厦门思明心和门诊部,"118.105565,24.47166"
3,20616,厦门思明区莲前西路2号F10B,厦门思明区,"118.121268,24.47597"
3,19678,厦门市思明区东浦路82号第二层 3 ,"好又惠前埔分店
","118.128637,24.471948"
3,19679,厦门市思明区东浦路82号第二层 4 ,"好又惠金尚分店
","118.128637,24.471948"
3,31534,湖滨南路328号亿宝大厦11楼采购部,亿宝大厦,"118.118125,24.474176"
3,22106,厦门市思明区槟榔西里255号101单元之一,厦门思明林驹中医诊所,"118.107948,24.481018"
3,23763,厦门市思明区香秀里36号育秀中心商场104单元,厦门市瑞来春药店有限公司,"118.132867,24.489808"
3,23983,厦门市思明区湖滨东路196号附属商业裙楼之201,厦门天使口腔医院,"118.11055,24.476568"
3,24868,厦门市思明区东坪山路25号之十三,东坪路分店,"118.121522,24.468441"
3,30611,思明区莲景路60号,厦门市思明区嘉莲街道社区卫生服务中心,"118.117849,24.482821"
3,26752,厦门市思明区湖滨南路328号20C3室,厦门桫椤贸易有限公司,"118.116172,24.474037"
3,26833,思明区金榜路61-76凯旋广场二层A块商场二楼,厦门思明扶元堂中医门诊部,"118.110015,24.468964"
3,27292,湖里区湖里街道和宁路50号,福建省厦门第六中学高中部医务室,"118.088959,24.494695"
3,21943,思明区厦禾路875号之25,厦门思明福章中医皮肤科诊所,"118.108641,24.468259"
3,23524,厦门市思明区湖滨东路196号附属商业裙楼之201,厦门思明美可普天使口腔门诊部有限公司 ,"118.11055,24.476568"
3,29350,厦门市思明区仙岳路488号201室之二,厦门市千里明视康保健服务有限公司,"118.121478,24.496166"
3,29470,思明区育秀里13-15号商场及16号之（1）商场,厦门思明和仁门诊部（股份厦门）,"118.114135,24.486173"
3,30577,思明区东浦路22号,厦门思明景元中医院,"118.125783,24.470805"
3,30758,湖滨南路328号亿宝大厦11楼采购部,亿宝大厦,"118.118125,24.474176"
3,30865,厦门市思明区仙岳路松岳里29号,燕来福（厦门思明琼芳中医诊所）,"118.111624,24.493098"
3,30866,厦门市思明区仙岳路松岳里29号,海峡两岸（厦门思明琼芳中医诊所）,"118.111624,24.493098"
3,30993,思明区金榜路58号,中山金榜分院,"118.110738,24.466996"
3,31028,厦门市思明区后埭溪路109号中心商场及周边B、C、D、I、R商场,公司仓库,"118.106855,24.467748"
3,31029,厦门市思明区屿后南里107-109号第一层,公司仓库,"118.121955,24.492036"
3,31070,思明区东浦路82号2楼在鹭峰宾馆对面,（燕来福）厦门市美信好又惠医药有限公司,"118.128734,24.472225"
3,31072,厦门市思明区东坪二里130-131号,仓库,"118.12107,24.468543"
3,31073,厦门市思明区湖明路12-16号,公司仓库,"118.118225,24.477447"
3,31074,厦门市思明区长青路251号,公司仓库,"118.123944,24.486119"
3,31075,厦门市思明区嘉禾路347号101单元,（燕来福）厦门市思明区济慈大药房,"118.126146,24.497636"
3,31077,厦门市思明区后埭溪路126号之三店,仓库,"118.107273,24.468466"
3,31078,厦门市思明区凤屿路238号,药店,"118.114281,24.477539"
3,31079,厦门市思明区莲岳路26号之6,仓库,"118.119629,24.484876"
3,31082,福建厦门思明区仙岳路  ,放射科,"118.178287,24.504828"
3,31105,厦门市思明区东坪二里一号201、301室,公司仓库,"118.12064,24.470312"
3,31109,思明区金榜路61-76凯旋广场二层A块商场二楼,厦门思明扶元堂中医门诊部,"118.110015,24.468964"
