KEYID,WAREHID,ROUTEID,TRANSID,ROUTESEQ,DISTANCE,INCEPTADDR,EQUTRANSID,SENDPOS,ROUTENAME,INTOWNFLAG,TRANSFLAG,USESTATUS,TRANSNAME,TRANSMODE,TRANSMODEID,ZONENO,ZONENAME,ZONEID,COMPANYNAME,TRCOMPANYID,WAREHNAME,MEMO,Xiamen.经度,Xiamen.纬度
10797,1,3,72,269.0,,湖里区湖里街道和宁路69-5号、69-6号、69-7号、69-8号、69-9号,,厦门湖里拯济堂门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.087422,24.496212
109,1,3,123,230.0,,禾祥东路170号之24店面,,厦门妙春堂药店有限公司,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.116289,24.471444
110,1,3,124,100.0,,思明区后埭溪路109号中心商场(银龙广场一期),,厦门闽篮超市有限公司禾祥店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.106719,24.468559
111,1,3,125,430.0,,湖里区嘉园路26号,,厦门闽篮超市有限公司松柏店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.112031,24.51542
119,1,3,133,450.0,,厦门市思明区仙岳路468号之一至之六 ,,厦门市康复医院,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.119911,24.495454
10465,1,3,185,269.0,,湖里区和宁里125之11号,,厦门市湖里区慈善堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.08675,24.497714
288,1,3,314,620.0,,仙岳路中段399号,,仙岳医院药库,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.111082,24.495411
294,1,3,335,320.0,,思明区凤屿路116、118号店面,,厦门思明晟东海门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11527,24.474423
295,1,3,336,330.0,,金榜路61-67号,,厦门思明扶正堂中医门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.109695,24.468756
297,1,3,338,340.0,,思明区湖滨南路625号,,厦门思明富山门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11657,24.475922
300,1,3,341,350.0,,思明区厦禾路913号华星大厦三层部分,,厦门思明华美医容医疗美容门诊部有限公司 ,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.114906,24.469906
301,1,3,342,360.0,,湖滨南路815号万禾广场二层,,厦门思明黄岩整形外科门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.119024,24.476991
303,1,3,344,10.0,,莲前西路114号101室,,厦门思明建设西医妇科诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.130472,24.47525
17893,1,3,345,285.0,,厦门市思明区湖滨南路469号福联大厦6F,,厦门思明洁宇门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.111986,24.47489
309,1,3,350,630.0,,莲岳路16号之16.18-203室,,厦门思明康健门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.12058,24.484302
14476,1,3,352,279.0,,厦门市思明区金榜路57号之二十三 张丽勤15392031729,,厦门思明丽勤诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.109044,24.46861
313,1,3,354,640.0,,思明区仙岳路463-467号聚祥花园A栋三层,,厦门思明欧菲医疗美容门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.1155,24.494629
314,1,3,355,650.0,,厦门市思明区屿后南里130-131号1-2层,,厦门思明齐安松柏门诊部有限公司,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.121047,24.491741
316,1,3,357,20.0,,思明槟榔西里150号天湖大厦A座1-4,,厦门思明区梧村骨科医院,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.110549,24.480249
480,1,3,526,80.0,,厦门市思明区金橡南路19号,,厦门市思明区金橡南路19号,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.082658,24.445567
17397,1,3,543,283.0,,厦门市思明区金榜路58号,,中山医院金榜分院,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.110738,24.466996
494,1,3,554,250.0,,思明区莲景路60号,,嘉莲社区药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.117849,24.482821
497,1,3,557,400.0,,莲岳里14号,,筼筜残联点药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.115605,24.49219
501,1,3,562,410.0,,思明区仙岳路452号之一至之五,,厦门得心药房有限公司仙岳店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.116241,24.493682
503,1,3,564,240.0,,思明区湖滨六里159号,,厦门东南医药有限公司大洲分店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.116035,24.478996
504,1,3,565,420.0,,仙阁里小区92号一层,,厦门东南医药有限公司仙阁里分店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.117699,24.49679
509,1,3,570,90.0,,厦门市湖滨东路9号,,厦门国泰妇科医院,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.113753,24.47014
543,1,3,605,600.0,,仙岳路中段373-375号,,爱心护理院药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.109833,24.493876
552,1,3,623,460.0,,开元区屿后南里238号,,松柏医院药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.121882,24.492903
19197,1,3,688,286.0,,厦门市思明区东浦路82号第二层,,厦门市美信好又惠医药有限公司,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.128637,24.471948
600,1,3,691,220.0,,*思明区湖光路78号之10-11号,,厦门市思明区安仁堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11134,24.47807
601,1,3,692,70.0,,厦门市思明区东浦一里57号109-110店面,,厦门市百安堂药业有限公司（股份厦门）,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.124074,24.472852
606,1,3,697,130.0,,坂尾路17-19号之2室,,厦门市思明区草济堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.12222,24.473786
607,1,3,698,210.0,,厦禾路881号千禧园36号,,厦门德康堂药业有限公司(股份厦门),线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11013,24.468182
610,1,3,701,490.0,,思明区嘉禾路303号114室,,厦门市思明区德善药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.126974,24.488979
611,1,3,702,180.0,,*东坪二里130号,,厦门市思明区德鑫堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.12059,24.46921
616,1,3,707,500.0,,湖明路12-16号,,厦门市思明区富康药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.117897,24.477373
618,1,3,709,140.0,,莲前西路51号之4,,厦门市思明区广莲堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.125222,24.477086
619,1,3,710,510.0,,思明区禾祥东路38号之二店,,厦门市思明区旱霖药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.108215,24.46834
624,1,3,715,520.0,,长青路251号,,厦门市思明区惠康大药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.123944,24.486119
625,1,3,716,530.0,,莲岳里162号之十,,厦门市思明区惠瑞药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.118538,24.494673
627,1,3,718,560.0,,*莲岳路永升松柏中心CD座一层17号,,厦门市思明区集善堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11628,24.490929
631,1,3,722,110.0,,东浦路金枫园12号之27店面,,厦门市思明区金鹭岛药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.122665,24.470818
639,1,3,730,190.0,,思明区东浦路4号之A04-A05店,,厦门市思明区美信祥和药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.121164,24.470724
642,1,3,733,270.0,,凤屿路17号之9,,厦门铭国堂药业有限公司（股份厦门））,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.115517,24.472904
646,1,3,737,290.0,,*思明区凤屿路238号,,厦门市思明区如一堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.114281,24.477539
653,1,3,744,300.0,,思明区湖滨南路821号之115号,,厦门市思明区同泰药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.120048,24.477669
656,1,3,747,540.0,,厦门市禾祥东路12号之32店,,厦门市思明区维善药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.10647,24.470354
657,1,3,748,580.0,,思明区嘉禾路253号之102室,,厦门市思明区祥聚堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.122373,24.484601
658,1,3,749,590.0,,思明区东明路5号,,厦门市思明区祥康堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.108563,24.480168
678,1,3,769,550.0,,厦门市思明区湖滨南路310-3号,,厦门市思明区众鑫泰大药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11447,24.474782
1371,1,3,1238,,,莲岳路179号,,筼筜社区莲岳点,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.121223,24.484604
1441,1,3,1325,,,思明区仙岳路452号之一至之五,,厦门得心药房有限公司仙岳店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.116241,24.493682
1444,1,3,1326,,,厦门市思明区湖滨六里175号,,德善堂湖滨六里店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.115986,24.478119
750,1,3,1025,310.0,,思明区凤屿路384号、448号之一、之二,,厦门思明槟榔门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.113428,24.48031
752,1,3,1027,60.0,,东浦路168-13,,厦门思明传春内科诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.131872,24.474028
753,1,3,1028,50.0,,东浦路98号之16-1,,厦门思明传文中医内科诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.129913,24.473218
756,1,3,1031,30.0,,东坪二里1号201，301室,,厦门思明德善堂东坪门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.120056,24.469757
762,1,3,1037,390.0,,厦门市思明区厦禾路986号401室之一,,厦门思明宁冠门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.117633,24.470704
770,1,3,1045,710.0,,*思明区松岳里35号,,思明区信益堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11198,24.493242
804,1,3,1088,672.0,,福建省厦门市连前西路,,中国人民解放军73325部队卫生队,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.136419,24.476672
1362,1,3,1202,,,思明区育秀里36号,,思明区育秀里36号,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.111681,24.485806
1362,1,3,1202,,,思明区育秀里36号,,思明区育秀里36号,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.111681,24.485806
1365,1,3,1203,,,思明区长青路506号102室,,思明区长青路506号102室,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.124582,24.489818
1373,1,3,1210,,,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.112844,24.472701
1372,1,3,1213,,,思明区长青路282号,,思明区长青路282号,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.123242,24.487458
2047,1,3,1880,,,福建厦门市嘉禾路570号,,厦门市思明东海门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.119585,24.511077
4180,1,3,1403,217.0,,*思明区仙岳路241号之106店面,,健康八五仙岳店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.097455,24.489566
1519,1,3,1416,,,*湖里区嘉禾路344号之7、344号之8、344之9,,健康八五十八分店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.129506,24.492991
2055,1,3,1912,,,*福建厦门思明区后埭溪路102号之十三E1单元 ,,"厦门思明区健康八五医药商店
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.10809,24.468098
2345,1,3,1941,,,厦门思明区湖光路133号,,厦门市国曜医疗器械有限公司,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.114325,24.479184
2314,1,3,1950,,,思明区莲景路62号,,嘉莲社区,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.117901,24.482885
2305,1,3,1960,,,福建厦门仙岳路263号,,都森医疗器械,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.099072,24.489736
2172,1,3,1961,,,莲岳里14号,,员筜社区,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.115605,24.49219
2155,1,3,1969,,,厦门思明区环岛东路1699号建发国际大厦19楼,,"厦门市和盛祥科技有限公司
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.191145,24.474053
2157,1,3,1979,,,福建厦门市长青路283号嘉华大厦1-4楼,,药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.123335,24.487936
1922,1,3,2010,,,"厦门湖滨北路育秀里36号三04
",,"厦门思明修志夫整形外科门诊部
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.112983,24.486955
1923,1,3,2011,,,"厦门仙岳路1153号
",,"厦门思明张铭医疗美容诊所
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.124748,24.502704
1863,1,3,1819,,,思明区金榜路58号,,中山金榜分院,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.110738,24.466996
1880,1,3,1830,,,仙岳路373-375号,,门诊药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.110066,24.493877
1986,1,3,1842,,,福建厦门思明区仙岳路  ,,"厦门市仙岳医院	设备科
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.178287,24.504828
2048,1,3,1916,,,"厦门莲前西路144号101室
",,"厦门思明建设西医妇科诊所
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.131583,24.47556
1980,1,3,2050,,,"思明区金榜路61-67号第五层22-2室
",,"厦门中迅达科技有限公司
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11008,24.46859
1921,1,3,2052,,,思明区东浦路22号,,梧村骨科医院药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.125783,24.470805
20178,1,3,1381,307.0,,思明区湖滨南路687号08室,,厦门思明兰娟口腔科诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.117148,24.476965
2012,1,3,2181,,,亿宝大厦11楼5890282,,国大连锁亿宝大厦,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.116173,24.474018
662,1,3,753,610.0,,*思明区莲岳路26号之六,,厦门市思明区信德堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.119791,24.484626
1536,1,3,1399,,,*思明区后埭溪路102号之十三E1单元,,健康八五后埭溪店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.10809,24.468098
1534,1,3,1402,,,*思明区故宫东里93号,,健康八五十五分店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.0835,24.4638
8907,1,3,1425,244.0,,思明区湖滨四里76-79号店面,,好又惠湖滨四里分店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.108963,24.475774
2388,1,3,2283,,,厦门市思明区金橡南路19号,,厦门市思明区金橡南路19号,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.082658,24.445567
187724,1,3,2331,707.0,,厦门市思明区金榜路58号,,金榜分院,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.110738,24.466996
1480,1,3,1374,,,仙岳路中段399号,,仙岳医院住院药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.111082,24.495411
1902,1,3,1813,,,"福建厦门屿后南里238号
",,"厦门市社会福利中心
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.121882,24.492903
1920,1,3,1821,,,厦门市思明区屿后南里130-131号1-2层,,思明齐安松柏门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.121047,24.491741
1988,1,3,1844,,,"福建厦门思明区仙岳路 
",,"厦门市仙岳医院	供应室
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.178287,24.504828
1987,1,3,1846,,,福建厦门思明区仙岳路  ,,"厦门市仙岳医院	检验科
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.178287,24.504828
8967,1,3,2648,246.0,,湖里区和宁里125之11号,,厦门市湖里区慈善堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.08675,24.497714
8987,1,3,2695,247.0,,厦门湖里区和通路14号店面,,厦门市湖里区品信堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.09129,24.491829
8927,1,3,2696,246.0,,厦门市湖里区和宁里125号之14,,厦门市湖里区普济堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.086593,24.498061
3033,1,3,2739,,,湖里区南山路293号之一楼02室,,厦门市惠康堂药店有限公司,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.117582,24.504586
2447,1,3,2828,,,*思明区后埭溪路102号之十三E1单元,,健康八五后埭溪店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.10809,24.468098
2446,1,3,2831,,,*思明区禾祥东路38号之二,,健康八五禾祥东店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.108215,24.46834
2445,1,3,2832,,,*思明区仙岳路241号之106店面,,健康八五仙岳店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.097455,24.489566
2432,1,3,2848,,,*福建厦门思明区后埭溪路102号之十三E1单元 ,,"厦门思明区健康八五医药商店
",线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.10809,24.468098
2557,1,3,2891,,,*思明区湖光路78号之10-11号,,厦门市思明区安仁堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11134,24.47807
2558,1,3,2892,,,东浦一里57号110,,厦门市思明区百安堂药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.124207,24.472847
2559,1,3,2897,,,坂尾路17-19号之2室,,厦门市思明区草济堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.12222,24.473786
2565,1,3,2898,,,*厦禾路881号千禧园36号,,厦门市思明区德康堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11013,24.468182
2566,1,3,2901,,,思明区嘉禾路303号114室,,厦门市思明区德善药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.126974,24.488979
2560,1,3,2902,,,*东坪二里130号,,厦门市思明区德鑫堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.12059,24.46921
2590,1,3,2908,,,湖明路12-16号,,厦门市思明区富康药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.117897,24.477373
2591,1,3,2910,,,莲前西路51号之4,,厦门市思明区广莲堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.125222,24.477086
2592,1,3,2911,,,思明区禾祥东路38号之二店,,厦门市思明区旱霖药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.108215,24.46834
2593,1,3,2916,,,长青路251号,,厦门市思明区惠康大药房,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.123944,24.486119
2594,1,3,2917,,,莲岳里162号之十,,厦门市思明区惠瑞药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.118538,24.494673
2595,1,3,2919,,,*莲岳路永升松柏中心CD座一层17号,,厦门市思明区集善堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11628,24.490929
2597,1,3,2927,,,东浦路金枫园12号之27店面,,厦门市思明区金鹭岛药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.1227244,24.4712903
2599,1,3,2936,,,思明区东浦路4号之A04-A05店,,厦门市思明区美信祥和药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.121164,24.470724
2600,1,3,2940,,,凤屿路17号之9,,厦门市思明区铭国堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.115517,24.472904
2602,1,3,2944,,,思明区凤屿路238号,,厦门市思明区如一堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.114281,24.477539
2603,1,3,2949,,,东浦路一里115号之十二,,厦门市思明区泰安药参行,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.125877,24.472094
2646,1,3,2951,,,思明区湖滨南路821号之115号,,厦门市思明区同泰药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.120048,24.477669
2604,1,3,2954,,,厦门市禾祥东路12号之32店,,厦门市思明区维善药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.10647,24.470354
2605,1,3,2955,,,思明区嘉禾路253号之102室,,厦门市思明区祥聚堂药店,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.122373,24.484601
2606,1,3,2956,,,思明区东明路5号,,厦门市思明区祥康堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.108563,24.480168
2607,1,3,2960,,,*思明区莲岳路26号之六,,厦门市思明区信德堂药局,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.119791,24.484626
