,ROUTEID,TRANSID,INCEPTADDR,SENDPOS,location,Index
306,3.0,31119.0,思明区育秀里36号,海峡两岸,,4
309,3.0,31207.0,厦门市思明区育秀里36号育秀中心商场104单元,海峡两岸,,4
315,3.0,30446.0,思明区育秀里36号,思明区育秀里36号,,4
936,3.0,3404199.0,厦门市思明区育秀里36-103单元（一层及夹层）,厦门思明许水德口腔门诊部,,4
179,3.0,3420.0,厦门市思明区禾祥东路18-13号,厦门思明艺贞禾祥诊所,,5
5,3.0,371.0,厦门市思明区禾祥东路18-13号,厦门思明艺贞禾祥诊所,"118.108367,24.470086",5
305,3.0,31112.0,思明区禾祥东路18-13号,诊所,,5
181,3.0,3425.0,思明区莲岳里72号,厦门思明再福中医诊所,,6
6,3.0,376.0,思明区莲岳里72号,厦门思明再福中医诊所,"118.116542,24.491903",6
90,3.0,2011.0,"厦门仙岳路1153号
","厦门思明张铭医疗美容诊所
",,7
183,3.0,3427.0,"厦门仙岳路1153号
","厦门思明张铭医疗美容诊所
",,7
7,3.0,377.0,仙岳路1153号,厦门思明张铭医疗美容诊所,"118.124748,24.502704",7
509,3.0,1035386.0,厦门市思明区仙岳路1153号,厦门思明爱思特张敏医疗美容诊所（股份厦门）,,7
182,3.0,3426.0,仙岳路1153号,厦门思明张铭医疗美容诊所,,7
8,3.0,410.0,长青路283号嘉华大厦1-4楼,厦门友好妇产医院,"118.12356,24.488194",8
185,3.0,3472.0,长青路283号嘉华大厦1-4楼,厦门友好妇产医院,,8
9,3.0,413.0,厦门市思明区金榜路61-67号第五层22室,厦门中讯达科技有限公司,"118.11008,24.46859",9
187,3.0,3478.0,"思明区金榜路61-67号第五层22-2室
","厦门中迅达科技有限公司
",,9
95,3.0,2050.0,"思明区金榜路61-67号第五层22-2室
","厦门中迅达科技有限公司
",,9
186,3.0,3477.0,厦门市思明区金榜路61-67号第五层22室,厦门中讯达科技有限公司,,9
191,3.0,3550.0,思明区仙阁里162号之102,厦门思明晓明诊所,,10
10,3.0,419.0,思明区仙阁里162号之102,厦门思明晓明诊所,"118.11693,24.495667",10
11,3.0,436.0,亿宝大厦11楼5890282,国大连锁亿宝大厦,"118.116173,24.474018",11
98,3.0,2181.0,亿宝大厦11楼5890282,国大连锁亿宝大厦,,11
551,3.0,392504.0,湖里区湖里街道东渡和通里128号 5楼,国宇门诊部,,12
12,3.0,17.0,湖里区湖里街道东渡和通里128号,厦门湖里国宇门诊部,"118.092964,24.493268",12
2007,2.0,2442.0,湖里区湖里街道和宁路125号,厦门湖里健民濠头门诊部,,13
13,3.0,62.0,湖里区湖里街道和宁路125号,厦门湖里健民濠头门诊部,"118.087529,24.49692",13
14,3.0,72.0,湖里区湖里街道和宁路69-5号、69-6号、69-7号、69-8号、69-9号,厦门湖里拯济堂门诊部,"118.087422,24.496212",14
592,3.0,700869.0,禾祥东路170号之24店面,燕来福,,15
333,3.0,31675.0,禾祥东路170号之24店面,燕来福,,15
150,3.0,2518.0,禾祥东路170号之24店面,厦门妙春堂药店有限公司,,15
15,3.0,123.0,禾祥东路170号之24店面,厦门妙春堂药店有限公司,"118.116289,24.471444",15
528,3.0,263576.0,思明区后埭溪路109号中心商场(银龙广场一期),（燕来福）厦门闽篮超市有限公司禾祥店,,16
335,3.0,31677.0,思明区后埭溪路109号中心商场(银龙广场一期),燕来福,,16
467,3.0,36280.0,思明区后埭溪路109号中心商场(银龙广场一期),海峡两岸,,16
151,3.0,2519.0,思明区后埭溪路109号中心商场(银龙广场一期),厦门闽篮超市有限公司禾祥店,,16
489,3.0,34851.0,思明区后埭溪路109号中心商场(银龙广场一期),（海峡两岸）厦门闽篮超市有限公司禾祥店,,16
16,3.0,124.0,思明区后埭溪路109号中心商场(银龙广场一期),厦门闽篮超市有限公司禾祥店,"118.106719,24.468559",16
490,3.0,34852.0,湖里区嘉园路26号,（海峡两岸）厦门闽篮超市有限公司松柏店,,17
491,3.0,36422.0,湖里区嘉园路26号,海峡两岸,,17
529,3.0,263577.0,湖里区嘉园路26号,（燕来福）厦门闽篮超市有限公司松柏店,,17
152,3.0,2520.0,湖里区嘉园路26号,厦门闽篮超市有限公司松柏店,,17
17,3.0,125.0,湖里区嘉园路26号,厦门闽篮超市有限公司松柏店,"118.112031,24.51542",17
336,3.0,31678.0,湖里区嘉园路26号,燕来福,,17
356,3.0,30731.0,仙岳路468号,厦门市思明区筼筜街道社区卫生服务中心（残联点）,,18
530,3.0,263579.0,厦门市仙岳路468号,（燕来福）厦门市残联康复医院,,18
891,3.0,2241976.0,仙岳路468号,（燕来福）残联点,,18
389,3.0,53394.0,厦门市仙岳路468号,海峡两岸,,18
18,3.0,133.0,厦门市思明区仙岳路468号之一至之六 ,厦门市康复医院,"118.119911,24.495454",18
593,3.0,700871.0,厦门市仙岳路468号,（海峡两岸）厦门市残联康复医院,,18
594,3.0,700872.0,厦门市仙岳路468号,（燕来福）厦门市残联康复医院,,18
456,3.0,38192.0,厦门市仙岳路468号,厦门市残联康复医院,,18
155,3.0,2530.0,厦门市仙岳路468号,厦门市康复医院,,18
251,3.0,13579.0,仙岳路468号,筼筜社区残联点,,18
110,3.0,2648.0,湖里区和宁里125之11号,厦门市湖里区慈善堂药店,,19
843,3.0,2241597.0,湖里区和宁里125之11号,燕来福（厦门市慈善堂药业有限公司),,19
19,3.0,185.0,湖里区和宁里125之11号,厦门市湖里区慈善堂药店,"118.08675,24.497714",19
337,3.0,31767.0,湖里区和宁里125之11号,燕来福,,19
856,3.0,2241772.0,仙岳路中段399号,燕来福（厦门市仙岳医院）,,20
598,3.0,701046.0,仙岳路中段399号,燕来福,,20
193,3.0,3142.0,仙岳路中段399号,仙岳医院住院药房,,20
105,3.0,1374.0,仙岳路中段399号,仙岳医院住院药房,,20
351,3.0,31832.0,仙岳路中段399号,燕来福,,20
20,3.0,314.0,仙岳路中段399号,仙岳医院药库,"118.111082,24.495411",20
192,3.0,3141.0,仙岳路中段399号,仙岳医院药库,,20
562,3.0,394016.0,仙岳路中段399号,厦门市仙岳医院,,20
674,3.0,1473745.0,仙岳路中段399号,住院部二楼设备科仓库,,20
202,3.0,3376.0,思明区凤屿路116、118号店面,厦门思明东海门诊部,,21
21,3.0,335.0,思明区凤屿路116、118号店面,厦门思明晟东海门诊部,"118.11527,24.474423",21
160,3.0,3378.0,金榜路61-67号,厦门思明扶元堂中医康复门诊部,,22
22,3.0,336.0,金榜路61-67号,厦门思明扶正堂中医门诊部,"118.109695,24.468756",22
590,3.0,700088.0,厦门思明区湖滨南路625号,海峡两岸（厦门思明富山门诊部）,,23
358,3.0,31894.0,思明区湖滨南路625号,燕来福,,23
602,3.0,701093.0,厦门思明区湖滨南路625号,海峡两岸（厦门思明富山门诊部）,,23
481,3.0,57085.0,厦门思明区湖滨南路625号,海峡两岸,,23
23,3.0,338.0,思明区湖滨南路625号,厦门思明富山门诊部,"118.11657,24.475922",23
161,3.0,3380.0,思明区湖滨南路625号,厦门思明富山门诊部,,23
601,3.0,701092.0,思明区湖滨南路625号,燕来福（厦门思明富山门诊部）,,23
24,3.0,341.0,思明区厦禾路913号华星大厦三层部分,厦门思明华美医容医疗美容门诊部有限公司 ,"118.114906,24.469906",24
345,3.0,28250.0,思明区厦禾路913号华星大厦三层部分,厦门思明时光医疗美容门诊部,,24
25,3.0,342.0,湖滨南路815号万禾广场二层,厦门思明黄岩整形外科门诊部,"118.119024,24.476991",25
164,3.0,3384.0,湖滨南路815号万禾广场二层,厦门思明黄岩医疗美容诊所,,25
165,3.0,3387.0,莲前西路114号101室,厦门思明建设西医妇科诊所,,26
26,3.0,344.0,莲前西路114号101室,厦门思明建设西医妇科诊所,"118.130472,24.47525",26
27,3.0,345.0,厦门市思明区湖滨南路469号福联大厦6F,厦门思明洁宇门诊部,"118.111986,24.47489",27
620,3.0,737757.0,厦门市思明区莲岳路16号之四、之五及16、20号(夹层B区),厦门思明藏德上医堂中医门诊部,,28
654,3.0,1122714.0,厦门市思明区莲岳路16号之四、之五及16、20号（夹层B区）,厦门思明上医堂中医门诊部,,28
168,3.0,3394.0,莲岳路16号之16.18-203室,厦门思明康健（旧的）,,28
804,3.0,2242113.0,厦门市思明区莲岳路16号之四、之五及16、20号（夹层B区）,（燕来福）厦门思明上医堂中医门诊部,,28
911,3.0,2242077.0,厦门市思明区莲岳路16号之四、之五及16、20号(夹层B层),（燕来福）厦门思明藏德上医堂中医门诊部,,28
28,3.0,350.0,莲岳路16号之16.18-203室,厦门思明康健门诊部,"118.12058,24.484302",28
29,3.0,352.0,厦门市思明区金榜路57号之二十三 张丽勤15392031729,厦门思明丽勤诊所,"118.109044,24.46861",29
360,3.0,31900.0,厦门市思明区金榜路57号之二十三 张丽勤15392031729,燕来福,,29
30,3.0,354.0,思明区仙岳路463-467号聚祥花园A栋三层,厦门思明欧菲医疗美容门诊部,"118.1155,24.494629",30
2472,2.0,2241934.0,厦门市思明区仙岳路463-467号聚祥花园A栋201单元及三层,（燕来福）厦门思明欧菲医疗美容门诊部,,30
169,3.0,3398.0,思明区仙岳路463-467号聚祥花园A栋三层,厦门思明欧菲医疗美容门诊部,,30
571,3.0,514745.0,厦门市思明区仙岳路463－467号聚祥花园A栋201单元及三层,厦门思明欧菲医疗美容门诊部,,30
107,3.0,1821.0,厦门市思明区屿后南里130-131号1-2层,思明齐安松柏门诊部,,31
31,3.0,355.0,厦门市思明区屿后南里130-131号1-2层,厦门思明齐安松柏门诊部有限公司,"118.121047,24.491741",31
775,3.0,2243871.0,厦门市思明区屿后南里130-131号1层,厦门思明齐安长青口腔门诊部有限公司,,31
32,3.0,357.0,思明槟榔西里150号天湖大厦A座1-4,厦门思明区梧村骨科医院,"118.110549,24.480249",32
172,3.0,3402.0,思明槟榔西里150号天湖大厦A座1-4,厦门思明区梧村骨科医院,,32
437,3.0,34632.0,思明槟榔西里150号天湖大厦A座1-4,厦门思明区梧村骨科医院,,32
2999,1.0,47345.0,厦门市思明区,厦门市会美康医药科技有限公司,,33
2972,1.0,34454.0,思明区阳台路3号C幢中，左单元一、二层店面,股份中药材,,33
2971,1.0,34453.0,思明区阳台路3号C幢中，左单元一、二层店面,（燕来福）厦门思明东方门诊部,,33
2959,1.0,34192.0,*思明区阳台路3号C幢中，左单元一、二层店面,厦门思明东方门诊部,,33
1156,4.0,6715.0,厦门市思明区龙山二路41、43店面,德善堂龙山店,,33
1469,4.0,701403.0,厦门市思明区,厦门市会美康医药科技有限公司,,33
2903,1.0,31891.0,思明区阳台路3号C幢中，左单元一、二层店面,燕来福,,33
2788,1.0,30750.0,思明区阳台路3号C幢中，左单元一、二层店面,厦门思明东方门诊部,,33
1946,2.0,1481.0,思明区,外运思明区,,33
2009,2.0,2535.0,厦门市思明区双路221号37单元,厦门市德丰堂药业有限公司,,33
2904,1.0,31892.0,思明区阳台路3号C幢中，左单元一、二层店面,股份中药材,,33
2709,1.0,3375.0,*思明区阳台路3号C幢中，左单元一、二层店面,厦门思明东方门诊部,,33
2905,1.0,31893.0,思明区阳台路3号C幢中，左单元一、二层店面,海峡两岸,,33
2567,1.0,1036.0,*思明区阳台路3号C幢中，左单元一、二层店面,厦门思明东方门诊部有限公司,,33
3023,1.0,57084.0,思明区阳台路3号C幢中，左单元一、二层店面,公司仓库,,33
3247,1.0,2241926.0,思明区阳台路3号C幢中，左单元一、二层店面,（燕来福）厦门思明东方门诊部,,33
2040,2.0,3567.0,思明区,外运思明区,,33
3435,5.0,30437.0,厦门市思明区昌岭路232号之七、之八、之九,门诊部,,33
8779,20.0,54762.0,"综合农场北壹街45号
","综合农场北壹街卫生室
",,33
1155,4.0,6714.0,厦门市思明区龙山二路41、43店面,德善堂龙山店,,33
3487,5.0,34452.0,厦门市思明区莲湖北路二十三号一楼102室二楼201、202室、三楼301、302室,门诊部,,33
770,3.0,2244291.0,厦门市思明区浦南六组9号,厦门思明日进内科诊所,,33
2096,2.0,30763.0,厦门市思明区双路221号37单元,厦门市德丰堂药业有限公司,,33
103,3.0,2283.0,厦门市思明区金橡南路19号,厦门市思明区金橡南路19号,,33
1102,4.0,3432.0,思明区莲花东路168号,厦门思明志权西医内科诊所,,33
33,3.0,526.0,厦门市思明区金橡南路19号,厦门市思明区金橡南路19号,"118.082658,24.445567",33
104,3.0,2331.0,厦门市思明区金榜路58号,金榜分院,,34
289,3.0,30993.0,思明区金榜路58号,中山金榜分院,,34
2133,2.0,33788.0,厦门市思明区金榜路58号,中山医院金榜分院,,34
357,3.0,22996.0,思明区金榜路58号,中山金榜分院,,34
330,3.0,34269.0,思明区金榜路58号,中山金榜分院,,34
34,3.0,543.0,厦门市思明区金榜路58号,中山医院金榜分院,"118.110738,24.466996",34
141,3.0,2341.0,思明区金榜路58号,中山金榜分院,,34
91,3.0,1819.0,思明区金榜路58号,中山金榜分院,,34
35,3.0,554.0,思明区莲景路60号,嘉莲社区药房,"118.117849,24.482821",35
825,3.0,2241501.0,思明区莲景路60号,(燕来福)厦门市思明区嘉莲街道社区卫生服务中心,,35
533,3.0,263570.0,思明区莲景路60号,(燕来福)厦门市思明区嘉莲街道社区卫生服务中心,,35
277,3.0,30611.0,思明区莲景路60号,厦门市思明区嘉莲街道社区卫生服务中心,,35
331,3.0,31639.0,思明区莲景路60号,(两岸公司)厦门市思明区嘉莲街道社区卫生服务中心,,35
3546,5.0,332056.0,思明区莲景路60号,(燕来福)厦门市思明区嘉莲街道社区卫生服务中心,,35
588,3.0,700823.0,思明区莲景路60号,(两岸公司)厦门市思明区嘉莲街道社区卫生服务中心,,35
587,3.0,700822.0,思明区莲景路60号,(燕来福)厦门市思明区嘉莲街道社区卫生服务中心,,35
159,3.0,3720.0,莲岳里14号,员筜社区,,36
611,3.0,701148.0,莲岳里14号,海峡两岸残联点,,36
142,3.0,2379.0,莲岳里14号,筼筜残联点药房,,36
318,3.0,30450.0,莲岳里14号,筼筜社区残联点,,36
609,3.0,701146.0,莲岳里14号,筼筜社区残联点,,36
308,3.0,31121.0,莲岳里14号,海峡两岸残联点,,36
36,3.0,557.0,莲岳里14号,筼筜残联点药房,"118.115605,24.49219",36
86,3.0,1961.0,莲岳里14号,员筜社区,,36
827,3.0,2241509.0,厦门市思明区仙岳路452号之一至之五3-3室,厦门得心药房有限公司仙岳店,,37
425,3.0,48038.0,厦门市思明区仙岳路452号之一至之五3-3室,公司仓库,,37
66,3.0,1325.0,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,,37
704,3.0,1770099.0,厦门市思明区仙岳路452号之一至之五3-3室,厦门得心药房有限公司仙岳店,,37
143,3.0,2392.0,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,,37
144,3.0,2394.0,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,,37
37,3.0,562.0,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,"118.116241,24.493682",37
146,3.0,2398.0,思明区湖滨六里159号,厦门东南医药有限公司大洲分店,,38
38,3.0,564.0,思明区湖滨六里159号,厦门东南医药有限公司大洲分店,"118.116035,24.478996",38
147,3.0,2399.0,仙阁里小区92号一层,厦门东南医药有限公司仙阁里分店,,39
39,3.0,565.0,仙阁里小区92号一层,厦门东南医药有限公司仙阁里分店,"118.117699,24.49679",39
148,3.0,2406.0,厦门市湖滨东路9号,厦门国泰妇科医院,,40
257,3.0,14196.0,厦门市湖滨东路9号,厦门鹭港妇产医院,,40
548,3.0,397222.0,厦门市湖滨东路9号 2楼药房,药房,,40
244,3.0,14176.0,厦门市湖滨东路9号,厦门鹭港妇产医院,,40
40,3.0,570.0,厦门市湖滨东路9号,厦门国泰妇科医院,"118.113753,24.47014",40
41,3.0,605.0,仙岳路中段373-375号,爱心护理院药房,"118.109833,24.493876",41
153,3.0,2527.0,仙岳路中段373-375号,爱心护理院药房,,41
157,3.0,2584.0,开元区屿后南里238号,松柏医院药房,,42
158,3.0,2585.0,"福建厦门屿后南里238号
","厦门市社会福利中心
",,42
454,3.0,61213.0,思明区屿后南里238号,社会福利中心,,42
230,3.0,9695.0,厦门市思明区屿后南里238号,厦门市社会福利中心,,42
42,3.0,623.0,开元区屿后南里238号,松柏医院药房,"118.121882,24.492903",42
2763,1.0,9696.0,厦门市思明区屿后南里238号,厦门市社会福利中心,,42
106,3.0,1813.0,"福建厦门屿后南里238号
","厦门市社会福利中心
",,42
265,3.0,19541.0,厦门市思明区东浦路82号第二层 10 ,"好又惠海沧分店
",,43
267,3.0,19543.0,厦门市思明区东浦路82号第二层 14 ,"好又惠万寿分店
",,43
271,3.0,19679.0,厦门市思明区东浦路82号第二层 4 ,"好又惠金尚分店
",,43
270,3.0,19678.0,厦门市思明区东浦路82号第二层 3 ,"好又惠前埔分店
",,43
321,3.0,19684.0,厦门市思明区东浦路82号第二层 13 ,"好又惠旭日海湾分店
",,43
266,3.0,19542.0,厦门市思明区东浦路82号第二层 15 ,"好又惠第十五分店
",,43
264,3.0,19540.0,厦门市思明区东浦路82号第二层 11 ,"好又惠集美北区分店
",,43
325,3.0,19667.0,厦门市思明区东浦路82号第二层 16 ,"好又惠松柏店（第十五分店）
",,43
43,3.0,688.0,厦门市思明区东浦路82号第二层,厦门市美信好又惠医药有限公司,"118.128637,24.471948",43
263,3.0,19682.0,厦门市思明区东浦路82号第二层 8 ,"好又惠湖滨南总店
",,43
262,3.0,19681.0,厦门市思明区东浦路82号第二层 7 ,"好又惠湖滨四里分店
",,43
261,3.0,19680.0,厦门市思明区东浦路82号第二层 9 ,"好又惠定安分店
",,43
312,3.0,19664.0,厦门市思明区东浦路82号第二层 2 ,"好又惠源昌分店
",,43
311,3.0,19663.0,厦门市思明区东浦路82号第二层 1 ,好又惠博士山庄分店 ,,43
314,3.0,19666.0,厦门市思明区东浦路82号第二层 6 ,"好又惠同安环西分店
",,43
320,3.0,19683.0,厦门市思明区东浦路82号第二层 12 ,"好又惠翔鹭分店
",,43
326,3.0,19668.0,厦门市思明区东浦路82号第二层 17 ,"厦门市美信好又惠医药有限公司第十八分店
",,43
313,3.0,19665.0,厦门市思明区东浦路82号第二层 5 ,"好又惠同安西安分店
",,43
44,3.0,691.0,*思明区湖光路78号之10-11号,厦门市思明区安仁堂药店,"118.11134,24.47807",44
854,3.0,2238824.0,厦门市思明区湖光路78号之10-11号,厦门市思明区湖光路78号之10-11号,,44
118,3.0,2891.0,*思明区湖光路78号之10-11号,厦门市思明区安仁堂药店,,44
45,3.0,692.0,厦门市思明区东浦一里57号109-110店面,厦门市百安堂药业有限公司（股份厦门）,"118.124074,24.472852",45
342,3.0,31795.0,厦门市思明区东浦一里57号109-110店,药房,,45
819,3.0,2243468.0,厦门市思明区东浦一里57号126单元,厦门市思明区东浦一里57号126单元,,45
696,3.0,2207095.0,厦门市思明区东浦一里57号126单元,厦门思明安愈中医内科诊所,,45
343,3.0,31796.0,厦门市思明区坂尾路17-19号之2室,燕来福,,46
46,3.0,697.0,坂尾路17-19号之2室,厦门市思明区草济堂药局,"118.12222,24.473786",46
120,3.0,2897.0,坂尾路17-19号之2室,厦门市思明区草济堂药局,,46
2995,1.0,47153.0,思明区坂尾路17-19号,仓库,,46
121,3.0,2898.0,*厦禾路881号千禧园36号,厦门市思明区德康堂药局,,47
850,3.0,2241641.0,*厦禾路881号千禧园36号,燕来福(厦门德康堂药业有限公司),,47
47,3.0,698.0,厦禾路881号千禧园36号,厦门德康堂药业有限公司(股份厦门),"118.11013,24.468182",47
347,3.0,31797.0,*厦禾路881号千禧园36号,燕来福,,47
122,3.0,2901.0,思明区嘉禾路303号114室,厦门市思明区德善药局,,48
48,3.0,701.0,思明区嘉禾路303号114室,厦门市思明区德善药局,"118.126974,24.488979",48
123,3.0,2902.0,*东坪二里130号,厦门市思明区德鑫堂药局,,49
877,3.0,2238844.0,厦门市思明区东坪二里130号，131之二号店,厦门市思明区东坪二里130号，131之二号店,,49
49,3.0,702.0,*东坪二里130号,厦门市思明区德鑫堂药局,"118.12059,24.46921",49
124,3.0,2908.0,湖明路12-16号,厦门市思明区富康药店,,50
50,3.0,707.0,湖明路12-16号,厦门市思明区富康药店,"118.117897,24.477373",50
51,3.0,709.0,莲前西路51号之4,厦门市思明区广莲堂药店,"118.125222,24.477086",51
685,3.0,1709056.0,厦门市思明区莲前西路51号一层店面之一,厦门思明济诊堂中医门诊部,,51
585,3.0,763338.0,厦门市思明区莲前西路51号一层店面之一,厦门思明本善堂中医门诊部,,51
125,3.0,2910.0,莲前西路51号之4,厦门市思明区广莲堂药店,,51
841,3.0,2242159.0,厦门市思明区莲前西路51号一层店面之一,厦门思明济诊堂中医门诊部,,51
460,3.0,62573.0,厦门市思明区莲前西路51号一层店面之一,厦门思明本善堂中医门诊部（股份厦门）,,51
126,3.0,2911.0,思明区禾祥东路38号之二店,厦门市思明区旱霖药店,,52
52,3.0,710.0,思明区禾祥东路38号之二店,厦门市思明区旱霖药店,"118.108215,24.46834",52
115,3.0,2831.0,*思明区禾祥东路38号之二,健康八五禾祥东店,,52
390,3.0,53398.0,厦门市思明区长青路251号(劳动力大厦旁) ,厦门市惠康药店有限公司,,53
813,3.0,2239076.0,厦门市思明区长青路251号,厦门市思明区长青路251号,,53
348,3.0,31802.0,长青路251号,燕来福,,53
295,3.0,31074.0,厦门市思明区长青路251号,公司仓库,,53
53,3.0,715.0,长青路251号,厦门市思明区惠康大药房,"118.123944,24.486119",53
127,3.0,2916.0,长青路251号,厦门市思明区惠康大药房,,53
462,3.0,36590.0,厦门市思明区长青路251号(劳动力大厦旁) ,厦门市惠康药店有限公司,,53
54,3.0,716.0,莲岳里162号之十,厦门市思明区惠瑞药店,"118.118538,24.494673",54
128,3.0,2917.0,莲岳里162号之十,厦门市思明区惠瑞药店,,54
350,3.0,31804.0,*莲岳路永升松柏中心CD座一层17号,燕来福,,55
129,3.0,2919.0,*莲岳路永升松柏中心CD座一层17号,厦门市思明区集善堂药店,,55
55,3.0,718.0,*莲岳路永升松柏中心CD座一层17号,厦门市思明区集善堂药店,"118.11628,24.490929",55
56,3.0,722.0,东浦路金枫园12号之27店面,厦门市思明区金鹭岛药店,"118.122665,24.470818",56
57,3.0,730.0,思明区东浦路4号之A04-A05店,厦门市思明区美信祥和药店,"118.121164,24.470724",57
131,3.0,2936.0,思明区东浦路4号之A04-A05店,厦门市思明区美信祥和药店,,57
132,3.0,2940.0,凤屿路17号之9,厦门市思明区铭国堂药店,,58
58,3.0,733.0,凤屿路17号之9,厦门铭国堂药业有限公司（股份厦门））,"118.115517,24.472904",58
298,3.0,31078.0,厦门市思明区凤屿路238号,药店,,59
59,3.0,737.0,*思明区凤屿路238号,厦门市思明区如一堂药店,"118.114281,24.477539",59
133,3.0,2944.0,思明区凤屿路238号,厦门市思明区如一堂药店,,59
135,3.0,2951.0,思明区湖滨南路821号之115号,厦门市思明区同泰药店,,60
60,3.0,744.0,思明区湖滨南路821号之115号,厦门市思明区同泰药店,"118.120048,24.477669",60
136,3.0,2954.0,厦门市禾祥东路12号之32店,厦门市思明区维善药店,,61
61,3.0,747.0,厦门市禾祥东路12号之32店,厦门市思明区维善药店,"118.10647,24.470354",61
62,3.0,748.0,思明区嘉禾路253号之102室,厦门市思明区祥聚堂药店,"118.122373,24.484601",62
137,3.0,2955.0,思明区嘉禾路253号之102室,厦门市思明区祥聚堂药店,,62
63,3.0,749.0,思明区东明路5号,厦门市思明区祥康堂药局,"118.108563,24.480168",63
138,3.0,2956.0,思明区东明路5号,厦门市思明区祥康堂药局,,63
140,3.0,2976.0,厦门市思明区湖滨南路310-3号,厦门市思明区众鑫泰大药房,,64
64,3.0,769.0,厦门市思明区湖滨南路310-3号,厦门市思明区众鑫泰大药房,"118.11447,24.474782",64
610,3.0,701147.0,莲岳路179号,海峡两岸莲岳点,,65
65,3.0,1238.0,莲岳路179号,筼筜社区莲岳点,"118.121223,24.484604",65
355,3.0,30730.0,莲岳路179号,厦门市思明区筼筜街道社区卫生服务中心（莲岳点）,,65
307,3.0,31120.0,莲岳路179号,海峡两岸莲岳点,,65
206,3.0,3584.0,莲岳路179号,筼筜莲岳点药房,,65
319,3.0,30451.0,莲岳路179号,筼筜社区莲岳点,,65
890,3.0,2241975.0,莲岳路179号,（燕来福）莲岳点,,65
145,3.0,2396.0,厦门市思明区湖滨六里175号,德善堂湖滨六里店,,66
67,3.0,1326.0,厦门市思明区湖滨六里175号,德善堂湖滨六里店,"118.115986,24.478119",66
485,3.0,55434.0,厦门市思明区凤屿路384号，448号之一，之二,海峡两岸,,67
568,3.0,704322.0,厦门市思明区凤屿路384号，448号之一，之二,海峡两岸,,67
198,3.0,3363.0,思明区凤屿路384号、448号之一、之二,厦门思明槟榔门诊部,,67
474,3.0,59951.0,厦门市思明区凤屿路384号，448号之一，之二,燕来福,,67
68,3.0,1025.0,思明区凤屿路384号、448号之一、之二,厦门思明槟榔门诊部,"118.113428,24.48031",67
69,3.0,1027.0,东浦路168-13,厦门思明传春内科诊所,"118.131872,24.474028",68
199,3.0,3365.0,东浦路168-13,厦门思明传春内科诊所,,68
200,3.0,3366.0,东浦路98号之16-1,厦门思明传文中医内科诊所,,69
